"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"0DDD","0DDD",3,3,NA,420,NA,NA,470,480,NA
"0DDR","0DDR",1,1,NA,980,980,NA,NA,NA,NA
"0DDY","0DDY",1,3,NA,420,NA,NA,NA,NA,NA
"0DRB","0DRB",2,2,NA,NA,220,NA,NA,NA,210
"0DRD","0DRD",3,1,NA,570,570,570,570,590,610
"0DRG","0DRG",3,2,NA,80,70,NA,90,NA,80
"0DRP","0DRP",3,1,NA,620,600,NA,NA,630,620
"0DRR","0DRR",3,2,NA,70,NA,NA,40,20,NA
"0DYD","0DYD",3,1,NA,1010,1010,NA,NA,NA,NA
"0DYY","0DYY",2,1,NA,NA,1000,1010,1010,1010,1010
"0GBB","0GBB",3,1,960,NA,NA,NA,NA,NA,NA
"0GBD","0GBD",2,1,940,NA,940,950,940,NA,940
"0GBG","0GBG",1,1,930,930,940,940,930,940,940
"0GBP","0GBP",3,1,950,NA,NA,940,NA,940,940
"0GBR","0GBR",3,1,920,NA,930,NA,940,NA,NA
"0GBY","0GBY",3,1,940,NA,1000,1010,NA,NA,1000
"0GDB","0GDB",2,3,770,770,750,750,750,770,NA
"0GDD","0GDD",3,3,770,770,770,NA,770,770,770
"0GDG","0GDG",2,3,750,750,750,740,NA,740,740
"0GDP","0GDP",3,3,770,770,NA,NA,NA,NA,NA
"0GDR","0GDR",2,3,750,750,NA,770,770,NA,780
"0GDY","0GDY",3,3,760,760,NA,NA,NA,NA,NA
"0GGB","0GGB",2,1,610,NA,NA,NA,NA,NA,NA
"0GGD","0GGD",3,1,590,NA,NA,NA,NA,NA,NA
"0GGG","0GGG",2,1,590,NA,NA,NA,NA,NA,NA
"0GGP","0GGP",3,1,600,600,NA,580,NA,NA,NA
"0GGR","0GGR",2,1,580,580,NA,580,580,680,660
"0GGY","0GGY",3,1,590,590,590,590,580,590,590
"0GPB","0GPB",3,3,880,NA,NA,NA,NA,NA,NA
"0GPD","0GPD",3,3,880,NA,NA,NA,NA,NA,NA
"0GPG","0GPG",2,3,790,780,NA,NA,NA,NA,NA
"0GPP","0GPP",1,3,880,NA,NA,NA,870,890,800
"0GPR","0GPR",2,1,920,NA,NA,NA,NA,920,NA
"0GPY","0GPY",3,3,850,NA,NA,NA,NA,NA,NA
"0GRB","0GRB",3,1,570,570,NA,NA,NA,NA,NA
"0GRD","0GRD",2,3,470,NA,NA,NA,NA,NA,NA
"0GRG","0GRG",1,3,470,NA,NA,NA,500,510,510
"0GRP","0GRP",2,3,490,NA,490,500,NA,490,NA
"0GRY","0GRY",2,3,470,NA,NA,NA,NA,NA,NA
"0GYB","0GYB",3,3,740,740,NA,740,740,NA,NA
"0GYD","0GYD",2,1,680,670,670,NA,NA,NA,NA
"0GYG","0GYG",3,1,680,NA,NA,680,690,690,690
"0GYP","0GYP",1,3,730,NA,NA,NA,NA,NA,NA
"0GYR","0GYR",3,1,650,NA,NA,660,NA,660,660
"0GYY","0GYY",3,1,680,NA,NA,NA,680,690,680
"0RBB","0RBB",3,1,570,NA,NA,570,560,NA,NA
"0RBD","0RBD",2,3,430,NA,NA,NA,NA,NA,NA
"0RBG","0RBG",3,3,390,NA,NA,NA,NA,NA,NA
"0RBP","0RBP",2,1,560,NA,NA,NA,NA,NA,NA
"0RBY","0RBY",2,3,390,NA,NA,NA,NA,NA,NA
"0RDB","0RDB",2,3,310,310,310,NA,NA,NA,NA
"0RDD","0RDD",3,2,230,NA,NA,NA,NA,NA,NA
"0RDG","0RDG",2,2,230,NA,240,240,180,NA,NA
"0RDP","0RDP",3,3,310,NA,NA,NA,360,360,NA
"0RDR","0RDR",2,2,230,230,NA,NA,NA,240,NA
"0RDY","0RDY",2,2,230,NA,NA,NA,NA,NA,NA
"0RGB","0RGB",1,2,170,180,180,NA,NA,150,NA
"0RGD","0RGD",1,2,150,NA,NA,150,80,NA,80
"0RGG","0RGG",1,2,80,60,80,NA,NA,NA,NA
"0RGP","0RGP",2,2,160,NA,NA,NA,NA,NA,NA
"0RGR","0RGR",3,2,70,NA,NA,NA,NA,NA,NA
"0RGY","0RGY",2,2,100,NA,120,120,120,NA,90
"0RPB","0RPB",3,3,380,NA,NA,NA,NA,NA,NA
"0RPD","0RPD",2,3,370,NA,370,NA,NA,380,NA
"0RPG","0RPG",3,3,330,NA,NA,NA,NA,NA,NA
"0RPP","0RPP",2,3,380,NA,NA,NA,NA,NA,NA
"0RPR","0RPR",2,3,320,NA,NA,320,320,320,320
"0RPY","0RPY",2,3,350,360,360,NA,330,330,320
"0RRB","0RRB",2,2,100,NA,NA,80,80,60,60
"0RRD","0RRD",2,2,60,60,NA,NA,NA,NA,NA
"0RRG","0RRG",3,2,40,NA,NA,NA,NA,NA,NA
"0RRP","0RRP",3,2,90,NA,NA,NA,NA,NA,NA
"0RRR","0RRR",1,2,40,NA,40,NA,40,40,40
"0RRY","0RRY",2,2,40,40,40,40,NA,NA,NA
"0RYB","0RYB",2,2,230,230,230,NA,190,NA,180
"0RYD","0RYD",3,2,200,NA,NA,NA,NA,210,210
"0RYG","0RYG",2,2,200,200,190,NA,NA,NA,NA
"0RYR","0RYR",3,2,190,190,NA,NA,NA,NA,NA
"0RYY","0RYY",1,2,200,200,NA,200,190,NA,NA
"0YBD","0YBD",3,3,NA,740,NA,NA,NA,NA,NA
"0YBG","0YBG",3,3,NA,730,NA,NA,NA,NA,NA
"0YBY","0YBY",3,3,NA,740,NA,760,760,770,790
"0YDB","0YDB",1,2,1300,1300,NA,NA,1230,1220,1250
"0YDD","0YDD",1,1,1090,NA,NA,NA,NA,NA,NA
"0YDG","0YDG",1,1,1080,NA,1080,NA,NA,NA,NA
"0YDP","0YDP",2,2,1270,1280,NA,NA,NA,NA,NA
"0YDR","0YDR",1,1,1070,NA,1070,NA,NA,NA,1070
"0YDY","0YDY",2,1,1080,NA,1080,NA,NA,NA,NA
"0YGB","0YGB",1,1,1020,NA,NA,NA,NA,NA,NA
"0YGD","0YGD",2,1,1000,NA,NA,NA,NA,NA,NA
"0YGG","0YGG",2,1,990,NA,1000,NA,NA,NA,1000
"0YGP","0YGP",2,1,1020,NA,1030,1050,NA,1040,1040
"0YGR","0YGR",1,1,990,NA,NA,NA,NA,NA,NA
"0YGY","0YGY",2,1,1000,NA,NA,NA,NA,NA,NA
"0YPB","0YPB",3,1,NA,1000,NA,1000,1000,NA,NA
"0YPD","0YPD",3,2,NA,40,40,80,NA,20,30
"0YPG","0YPG",3,2,NA,190,NA,NA,NA,NA,NA
"0YPP","0YPP",3,2,NA,70,90,NA,NA,NA,NA
"0YPY","0YPY",2,2,NA,200,NA,200,200,190,NA
"0YRB","0YRB",1,1,990,NA,1000,NA,1010,1000,1000
"0YRD","0YRD",2,1,980,990,990,NA,NA,NA,NA
"0YRG","0YRG",2,1,970,NA,970,970,970,980,970
"0YRP","0YRP",1,1,980,NA,NA,NA,NA,NA,NA
"0YRR","0YRR",1,1,960,NA,960,970,960,NA,960
"0YRY","0YRY",1,1,980,980,980,990,990,990,NA
"0YYB","0YYB",2,1,1070,1070,1070,1070,NA,NA,NA
"0YYD","0YYD",1,1,1040,1040,NA,1060,1060,NA,1040
"0YYG","0YYG",2,1,1030,NA,NA,1020,NA,NA,NA
"0YYP","0YYP",2,1,1050,NA,NA,NA,NA,1040,NA
"0YYR","0YYR",3,1,1020,NA,NA,1050,NA,NA,NA
"0YYY","0YYY",2,1,1040,NA,NA,NA,NA,NA,NA
"BBBB","BBBB",1,1,1030,1030,NA,NA,NA,NA,NA
"BBPB","BBPB",1,1,1020,1010,1000,1010,1010,1010,NA
"BPBB","BPBB",1,1,1000,1000,1000,NA,1000,NA,NA
"BPBP","BPBP",1,1,1000,1000,NA,NA,NA,NA,NA
"BPPB","BPPB",1,1,970,NA,NA,NA,NA,NA,NA
"BPPP","BPPP",1,1,940,NA,NA,NA,NA,NA,950
"BPPPBB","BPPPBB",1,2,NA,NA,140,NA,90,90,90
"BPPPBP","BPPPBP",2,2,NA,NA,130,NA,NA,100,120
"BPPPPB","BPPPPB",2,2,NA,NA,120,120,NA,100,NA
"BPPPPP","BPPPPP",1,2,NA,NA,120,NA,NA,NA,NA
"PBBB","PBBB",2,1,940,940,940,NA,930,NA,940
"PBBP","PBBP",1,1,930,NA,NA,NA,940,940,940
"PBPB","PBPB",1,1,920,920,940,NA,680,680,680
"PBPP","PBPP",1,3,890,890,890,890,NA,810,NA
"PBPPPB","PBPPPB",1,2,1210,1250,1250,NA,1250,1250,NA
"PPBPBP","PPBPBP",1,1,1080,1080,NA,NA,NA,NA,NA
"PPPPPB","PPPPPB",1,1,1040,NA,NA,NA,NA,NA,NA
"PPPPPP","PPPPPP",2,1,1030,NA,NA,920,930,NA,NA
"RGDDDD","RGDDDD",1,3,330,NA,NA,NA,330,330,NA
"RGDDDG","RGDDDG",1,2,230,230,220,NA,NA,NA,150
"RGDDDY","RGDDDY",1,3,310,310,NA,NA,NA,NA,NA
"RGDDGD","RGDDGD",1,2,190,190,NA,NA,NA,NA,NA
"RGDDGY","RGDDGY",1,2,190,NA,200,NA,NA,50,70
"RGDDRG","RGDDRG",1,2,170,150,NA,NA,80,NA,NA
"RGDDYD","RGDDYD",1,2,210,NA,NA,NA,NA,NA,NA
"RGDGDD","RGDGDD",1,2,10,20,20,20,20,30,30
"RGDYDY","RGDYDY",1,2,120,NA,NA,NA,NA,NA,NA
"RGDYGD","RGDYGD",1,2,90,90,NA,NA,NA,NA,NA
"RGDYRD","RGDYRD",1,2,40,40,40,NA,NA,NA,NA
"RGDYRG","RGDYRG",2,2,40,40,NA,NA,NA,NA,NA
"RGDYRY","RGDYRY",1,2,40,20,20,20,NA,30,30
"RGDYYR","RGDYYR",1,2,100,100,120,NA,NA,NA,NA
"RRY","RRY",2,2,40,NA,NA,NA,NA,NA,NA
"RYDRGG","RYDRGG",3,3,NA,NA,NA,NA,870,NA,NA
"RYDRGY","RYDRGY",2,3,NA,NA,NA,NA,410,NA,NA
"RYDRRB","RYDRRB",1,3,NA,NA,NA,NA,800,NA,NA
"RYDRRD","RYDRRD",1,1,NA,NA,NA,NA,1050,NA,NA
"RYDRRG","RYDRRG",2,1,NA,NA,NA,NA,940,NA,NA
"RYDRRR","RYDRRR",1,2,NA,NA,NA,NA,80,90,90
"RYDRYD","RYDRYD",2,1,NA,NA,NA,NA,640,NA,NA
"RYDRYP","RYDRYP",1,1,NA,NA,NA,NA,670,NA,680
"RYDRYY","RYDRYY",2,1,NA,NA,NA,NA,610,660,640
"RYDYGB","RYDYGB",3,2,NA,NA,NA,NA,NA,1290,1290
"RYDYPG","RYDYPG",2,3,NA,NA,NA,NA,NA,870,850
"RYDYYG","RYDYYG",3,2,NA,NA,NA,NA,NA,1300,1280
"RYDYYR","RYDYYR",2,2,NA,NA,NA,NA,NA,1290,1290
"RYRBBB","RYRBBB",1,1,NA,1000,NA,1010,NA,1010,NA
"RYRBBD","RYRBBD",2,1,NA,990,990,NA,990,NA,NA
"RYRBBG","RYRBBG",2,1,NA,950,NA,NA,NA,NA,NA
"RYRBBP","RYRBBP",2,1,NA,990,NA,990,990,990,NA
"RYRBBR","RYRBBR",2,1,NA,940,940,950,NA,NA,940
"RYRBBY","RYRBBY",2,1,NA,960,970,960,NA,NA,930
"RYRBDB","RYRBDB",2,1,NA,990,NA,NA,990,NA,1010
