"","id","CL","TR","1","2","3","4","5","6","7"
"1","0DDD",3,3,NA,1,0,0,1,1,0
"2","0DDR",1,1,NA,1,1,0,0,0,0
"3","0DDY",1,3,NA,1,0,0,0,0,0
"4","0DRB",2,2,NA,NA,1,0,0,0,1
"5","0DRD",3,1,NA,1,1,1,1,1,1
"6","0DRG",3,2,NA,1,1,0,1,0,1
"7","0DRP",3,1,NA,1,1,0,0,1,1
"8","0DRR",3,2,NA,1,0,0,1,1,0
"9","0DYD",3,1,NA,1,1,0,0,0,0
"10","0DYY",2,1,NA,NA,1,1,1,1,1
"11","0GBB",3,1,1,0,0,0,0,0,0
"12","0GBD",2,1,1,0,1,1,1,0,1
"13","0GBG",1,1,1,1,1,1,1,1,1
"14","0GBP",3,1,1,0,0,1,0,1,1
"15","0GBR",3,1,1,0,1,0,1,0,0
"16","0GBY",3,1,1,0,1,1,0,0,1
"17","0GDB",2,3,1,1,1,1,1,1,0
"18","0GDD",3,3,1,1,1,0,1,1,1
"19","0GDG",2,3,1,1,1,1,0,1,1
"20","0GDP",3,3,1,1,0,0,0,0,0
"21","0GDR",2,3,1,1,0,1,1,0,1
"22","0GDY",3,3,1,1,0,0,0,0,0
"23","0GGB",2,1,1,0,0,0,0,0,0
"24","0GGD",3,1,1,0,0,0,0,0,0
"25","0GGG",2,1,1,0,0,0,0,0,0
"26","0GGP",3,1,1,1,0,1,0,0,0
"27","0GGR",2,1,1,1,0,1,1,1,1
"28","0GGY",3,1,1,1,1,1,1,1,1
"29","0GPB",3,3,1,0,0,0,0,0,0
"30","0GPD",3,3,1,0,0,0,0,0,0
"31","0GPG",2,3,1,1,0,0,0,0,0
"32","0GPP",1,3,1,0,0,0,1,1,1
"33","0GPR",2,1,1,0,0,0,0,1,0
"34","0GPY",3,3,1,0,0,0,0,0,0
"35","0GRB",3,1,1,1,0,0,0,0,0
"36","0GRD",2,3,1,0,0,0,0,0,0
"37","0GRG",1,3,1,0,0,0,1,1,1
"38","0GRP",2,3,1,0,1,1,0,1,0
"39","0GRY",2,3,1,0,0,0,0,0,0
"40","0GYB",3,3,1,1,0,1,1,0,0
"41","0GYD",2,1,1,1,1,0,0,0,0
"42","0GYG",3,1,1,0,0,1,1,1,1
"43","0GYP",1,3,1,0,0,0,0,0,0
"44","0GYR",3,1,1,0,0,1,0,1,1
"45","0GYY",3,1,1,0,0,0,1,1,1
"46","0RBB",3,1,1,0,0,1,1,0,0
"47","0RBD",2,3,1,0,0,0,0,0,0
"48","0RBG",3,3,1,0,0,0,0,0,0
"49","0RBP",2,1,1,0,0,0,0,0,0
"50","0RBY",2,3,1,0,0,0,0,0,0
"51","0RDB",2,3,1,1,1,0,0,0,0
"52","0RDD",3,2,1,0,0,0,0,0,0
"53","0RDG",2,2,1,0,1,1,1,0,0
"54","0RDP",3,3,1,0,0,0,1,1,0
"55","0RDR",2,2,1,1,0,0,0,1,0
"56","0RDY",2,2,1,0,0,0,0,0,0
"57","0RGB",1,2,1,1,1,0,0,1,0
"58","0RGD",1,2,1,0,0,1,1,0,1
"59","0RGG",1,2,1,1,1,0,0,0,0
"60","0RGP",2,2,1,0,0,0,0,0,0
"61","0RGR",3,2,1,0,0,0,0,0,0
"62","0RGY",2,2,1,0,1,1,1,0,1
"63","0RPB",3,3,1,0,0,0,0,0,0
"64","0RPD",2,3,1,0,1,0,0,1,0
"65","0RPG",3,3,1,0,0,0,0,0,0
"66","0RPP",2,3,1,0,0,0,0,0,0
"67","0RPR",2,3,1,0,0,1,1,1,1
"68","0RPY",2,3,1,1,1,0,1,1,1
"69","0RRB",2,2,1,0,0,1,1,1,1
"70","0RRD",2,2,1,1,0,0,0,0,0
"71","0RRG",3,2,1,0,0,0,0,0,0
"72","0RRP",3,2,1,0,0,0,0,0,0
