"","id","CL","TR","occasion1","occasion2","occasion3","occasion4","occasion5","occasion6","occasion7"
"1","0DDD",3,3,NA,1,0,0,1,1,0
"2","0DDR",1,1,NA,1,1,0,0,0,0
"3","0DDY",1,3,NA,1,0,0,0,0,0
"4","0DRB",2,2,NA,NA,1,0,0,0,1
"5","0DRD",3,1,NA,1,1,1,1,1,1
"6","0DRG",3,2,NA,1,1,0,1,0,1
"7","0DRP",3,1,NA,1,1,0,0,1,1
"8","0DRR",3,2,NA,1,0,0,1,1,0
"9","0DRY",3,1,NA,1,1,0,0,0,0
"10","0DYD",3,1,NA,1,1,0,0,0,0
"11","0DYY",2,1,NA,NA,1,1,1,1,1
"12","0GBB",3,1,1,0,0,0,0,0,0
"13","0GBD",2,1,1,0,1,1,1,0,1
"14","0GBG",1,1,1,1,1,1,1,1,1
"15","0GBP",3,1,1,0,0,1,0,1,1
"16","0GBR",3,1,1,0,1,0,1,0,0
"17","0GBY",3,1,1,0,1,1,0,0,1
"18","0GDB",2,3,1,1,1,1,1,1,0
"19","0GDD",3,3,1,1,1,0,1,1,1
"20","0GDG",2,3,1,1,1,1,0,1,1
"21","0GDP",3,3,1,1,0,0,0,0,0
"22","0GDR",2,3,1,1,0,1,1,0,1
"23","0GDY",3,3,1,1,0,0,0,0,0
"24","0GGB",2,1,1,0,0,0,0,0,0
"25","0GGD",3,1,1,0,0,0,0,0,0
"26","0GGG",2,1,1,0,0,0,0,0,0
"27","0GGP",3,1,1,1,0,1,0,0,0
"28","0GGR",2,1,1,1,0,1,1,1,1
"29","0GGY",3,1,1,1,1,1,1,1,1
"30","0GPB",3,3,1,0,0,0,0,0,0
"31","0GPD",3,3,1,0,0,0,0,0,0
"32","0GPG",2,3,1,1,0,0,0,0,0
"33","0GPP",1,3,1,0,0,0,1,1,1
"34","0GPR",2,1,1,0,0,0,0,1,0
"35","0GPY",3,3,1,0,0,0,0,0,0
"36","0GRB",3,1,1,1,0,0,0,0,0
"37","0GRD",2,3,1,0,0,0,0,0,0
"38","0GRG",2,3,1,0,0,0,1,1,1
"39","0GRP",2,3,1,0,1,1,0,1,0
"40","0GRR",2,3,1,1,0,0,1,1,0
"41","0GRY",2,3,1,0,0,0,0,0,0
"42","0GYB",3,3,1,1,0,1,1,0,0
"43","0GYD",2,1,1,1,1,0,0,0,0
"44","0GYG",3,1,1,0,0,1,1,1,1
"45","0GYP",1,3,1,0,0,0,0,0,0
"46","0GYR",3,1,1,0,0,1,0,1,1
"47","0GYY",3,1,1,0,0,0,1,1,1
"48","0RBB",3,1,1,0,0,1,1,0,0
"49","0RBD",2,3,1,0,0,0,0,0,0
"50","0RBG",3,3,1,0,0,0,0,0,0
"51","0RBP",2,1,1,0,0,0,0,0,0
"52","0RBY",2,3,1,0,0,0,0,0,0
"53","0RDB",2,3,1,1,1,0,0,0,0
"54","0RDD",3,2,1,0,0,0,0,0,0
"55","0RDG",2,2,1,0,1,1,1,0,0
"56","0RDP",3,3,1,0,0,0,1,1,0
"57","0RDR",2,2,1,1,0,0,0,1,0
"58","0RDY",2,2,1,0,0,0,0,0,0
"59","0RGB",1,2,1,1,1,0,0,1,0
"60","0RGD",1,2,1,0,0,1,1,0,1
"61","0RGG",1,2,1,1,1,0,0,0,0
"62","0RGP",3,2,1,0,0,0,0,0,0
"63","0RGR",3,2,1,0,0,0,0,0,0
"64","0RGY",2,2,1,0,1,1,1,0,1
"65","0RPB",3,3,1,0,0,0,0,0,0
"66","0RPD",2,3,1,0,1,0,0,1,0
"67","0RPG",3,3,1,0,0,0,0,0,0
"68","0RPP",2,3,1,0,0,0,0,0,0
"69","0RPR",2,3,1,0,0,1,1,1,1
"70","0RPY",2,3,1,1,1,0,1,1,1
"71","0RRB",2,2,1,0,0,1,1,1,1
"72","0RRD",2,2,1,1,0,0,0,0,0
