"","id","CL","TR","1","2","3","4","5","6","7"
"1","0DDD",3,3,NA,420,NA,NA,470,480,NA
"2","0DDR",1,1,NA,980,980,NA,NA,NA,NA
"3","0DDY",1,3,NA,420,NA,NA,NA,NA,NA
"4","0DRB",2,2,NA,NA,220,NA,NA,NA,210
"5","0DRD",3,1,NA,570,570,570,570,590,610
"6","0DRG",3,2,NA,80,70,NA,90,NA,80
"7","0DRP",3,1,NA,620,600,NA,NA,630,620
"8","0DRR",3,2,NA,70,NA,NA,40,20,NA
"9","0DYD",3,1,NA,1010,1010,NA,NA,NA,NA
"10","0DYY",2,1,NA,NA,1000,1010,1010,1010,1010
"11","0GBB",3,1,960,NA,NA,NA,NA,NA,NA
"12","0GBD",2,1,940,NA,940,950,940,NA,940
"13","0GBG",1,1,930,930,940,940,930,940,940
"14","0GBP",3,1,950,NA,NA,940,NA,940,940
"15","0GBR",3,1,920,NA,930,NA,940,NA,NA
"16","0GBY",3,1,940,NA,1000,1010,NA,NA,1000
"17","0GDB",2,3,770,770,750,750,750,770,NA
"18","0GDD",3,3,770,770,770,NA,770,770,770
"19","0GDG",2,3,750,750,750,740,NA,740,740
"20","0GDP",3,3,770,770,NA,NA,NA,NA,NA
"21","0GDR",2,3,750,750,NA,770,770,NA,780
"22","0GDY",3,3,760,760,NA,NA,NA,NA,NA
"23","0GGB",2,1,610,NA,NA,NA,NA,NA,NA
"24","0GGD",3,1,590,NA,NA,NA,NA,NA,NA
"25","0GGG",2,1,590,NA,NA,NA,NA,NA,NA
"26","0GGP",3,1,600,600,NA,580,NA,NA,NA
"27","0GGR",2,1,580,580,NA,580,580,680,660
"28","0GGY",3,1,590,590,590,590,580,590,590
"29","0GPB",3,3,880,NA,NA,NA,NA,NA,NA
"30","0GPD",3,3,880,NA,NA,NA,NA,NA,NA
"31","0GPG",2,3,790,780,NA,NA,NA,NA,NA
"32","0GPP",1,3,880,NA,NA,NA,870,890,800
"33","0GPR",2,1,920,NA,NA,NA,NA,920,NA
"34","0GPY",3,3,850,NA,NA,NA,NA,NA,NA
