"","id","CL","TR","1","2","3","4","5","6","7"
"1","0DDD",3,3,NA,17028,NA,NA,17313,17376,NA
"2","0DDR",1,1,NA,17031,17086,NA,NA,NA,NA
"3","0DDY",1,3,NA,17028,NA,NA,NA,NA,NA
"4","0DRB",2,2,NA,NA,17087,NA,NA,NA,17451
"5","0DRD",3,1,NA,17031,17086,17253,17313,17376,17452
"6","0DRG",3,2,NA,17030,17085,NA,17311,NA,17451
"7","0DRP",3,1,NA,17031,17086,NA,NA,17376,17452
"8","0DRR",3,2,NA,17030,NA,NA,17311,17374,NA
"9","0DYD",3,1,NA,17031,17086,NA,NA,NA,NA
"10","0DYY",2,1,NA,NA,17086,17245,17312,17377,17450
"11","0GBB",3,1,16949,NA,NA,NA,NA,NA,NA
"12","0GBD",2,1,16949,NA,17086,17245,17312,NA,17450
"13","0GBG",1,1,16949,17031,17086,17245,17312,17377,17450
"14","0GBP",3,1,16949,NA,NA,17245,NA,17377,17450
"15","0GBR",3,1,16949,NA,17086,NA,17312,NA,NA
"16","0GBY",3,1,16949,NA,17086,17245,NA,NA,17450
"17","0GDB",2,3,16948,17029,17085,17254,17312,17378,NA
"18","0GDD",3,3,16948,17029,17085,NA,17312,17378,17450
"19","0GDG",2,3,16948,17029,17085,17254,NA,17378,17450
"20","0GDP",3,3,16948,17029,NA,NA,NA,NA,NA
"21","0GDR",2,3,16948,17029,NA,17254,17312,NA,17450
"22","0GDY",3,3,16948,17029,NA,NA,NA,NA,NA
"23","0GGB",2,1,16948,NA,NA,NA,NA,NA,NA
"24","0GGD",3,1,16948,NA,NA,NA,NA,NA,NA
"25","0GGG",2,1,16948,NA,NA,NA,NA,NA,NA
"26","0GGP",3,1,16948,17031,NA,17253,NA,NA,NA
"27","0GGR",2,1,16948,17031,NA,17253,17313,17376,17452
"28","0GGY",3,1,16948,17031,17086,17253,17313,17376,17452
"29","0GPB",3,3,16948,NA,NA,NA,NA,NA,NA
"30","0GPD",3,3,16948,NA,NA,NA,NA,NA,NA
"31","0GPG",2,3,16948,17029,NA,NA,NA,NA,NA
"32","0GPP",1,3,16948,NA,NA,NA,17312,17378,17450
"33","0GPR",2,1,16949,NA,NA,NA,NA,17377,NA
"34","0GPY",3,3,16948,NA,NA,NA,NA,NA,NA
"35","0GRB",3,1,16948,17031,NA,NA,NA,NA,NA
"36","0GRD",2,3,16946,NA,NA,NA,NA,NA,NA
"37","0GRG",1,3,16946,NA,NA,NA,17313,17376,17449
"38","0GRP",2,3,16946,NA,17084,17244,NA,17376,NA
"39","0GRY",2,3,16946,NA,NA,NA,NA,NA,NA
"40","0GYB",3,3,16948,17029,NA,17254,17312,NA,NA
"41","0GYD",2,1,16948,17031,17086,NA,NA,NA,NA
"42","0GYG",3,1,16948,NA,NA,17253,17313,17376,17452
"43","0GYP",1,3,16948,NA,NA,NA,NA,NA,NA
"44","0GYR",3,1,16948,NA,NA,17253,NA,17376,17452
"45","0GYY",3,1,16948,NA,NA,NA,17313,17376,17452
"46","0RBB",3,1,16948,NA,NA,17253,17313,NA,NA
"47","0RBD",2,3,16946,NA,NA,NA,NA,NA,NA
"48","0RBG",3,3,16946,NA,NA,NA,NA,NA,NA
"49","0RBP",2,1,16948,NA,NA,NA,NA,NA,NA
"50","0RBY",2,3,16946,NA,NA,NA,NA,NA,NA
"51","0RDB",2,3,16946,17029,17084,NA,NA,NA,NA
"52","0RDD",3,2,16945,NA,NA,NA,NA,NA,NA
"53","0RDG",2,2,16945,NA,17087,17243,17310,NA,NA
"54","0RDP",3,3,16946,NA,NA,NA,17310,17375,NA
"55","0RDR",2,2,16945,17030,NA,NA,NA,17375,NA
"56","0RDY",2,2,16945,NA,NA,NA,NA,NA,NA
"57","0RGB",1,2,16945,17030,17087,NA,NA,17375,NA
"58","0RGD",1,2,16945,NA,NA,17244,17311,NA,17451
"59","0RGG",1,2,16945,17030,17085,NA,NA,NA,NA
"60","0RGP",2,2,16945,NA,NA,NA,NA,NA,NA
"61","0RGR",3,2,16945,NA,NA,NA,NA,NA,NA
"62","0RGY",2,2,16945,NA,17085,17244,17310,NA,17451
"63","0RPB",3,3,16946,NA,NA,NA,NA,NA,NA
"64","0RPD",2,3,16946,NA,17084,NA,NA,17375,NA
"65","0RPG",3,3,16946,NA,NA,NA,NA,NA,NA
"66","0RPP",2,3,16946,NA,NA,NA,NA,NA,NA
"67","0RPR",2,3,16946,NA,NA,17254,17310,17375,17449
"68","0RPY",2,3,16946,17029,17084,NA,17310,17375,17449
"69","0RRB",2,2,16945,NA,NA,17243,17311,17374,17451
"70","0RRD",2,2,16945,17030,NA,NA,NA,NA,NA
"71","0RRG",3,2,16945,NA,NA,NA,NA,NA,NA
"72","0RRP",3,2,16945,NA,NA,NA,NA,NA,NA
"73","0RRR",1,2,16945,NA,17085,NA,17311,17374,17451
"74","0RRY",2,2,16945,17030,17085,17243,NA,NA,NA
"75","0RYB",2,2,16945,17030,17087,NA,17310,NA,17451
"76","0RYD",3,2,16945,NA,NA,NA,NA,17375,17451
"77","0RYG",2,2,16945,17030,17087,NA,NA,NA,NA
"78","0RYR",3,2,16945,17030,NA,NA,NA,NA,NA
"79","0RYY",1,2,16945,17030,NA,17243,17310,NA,NA
