"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"0DDD","0DDD",3,3,NA,1,0,0,1,1,0
"0DDR","0DDR",1,1,NA,1,1,0,0,0,0
"0DDY","0DDY",1,3,NA,1,0,0,0,0,0
"0DRB","0DRB",2,2,NA,NA,1,0,0,0,1
"0DRD","0DRD",3,1,NA,1,1,1,1,1,1
"0DRG","0DRG",3,2,NA,1,1,0,1,0,1
"0DRP","0DRP",3,1,NA,1,1,0,0,1,1
"0DRR","0DRR",3,2,NA,1,0,0,1,1,0
"0DYD","0DYD",3,1,NA,1,1,0,0,0,0
"0DYY","0DYY",2,1,NA,NA,1,1,1,1,1
"0GBB","0GBB",3,1,1,0,0,0,0,0,0
"0GBD","0GBD",2,1,1,0,1,1,1,0,1
"0GBG","0GBG",1,1,1,1,1,1,1,1,1
"0GBP","0GBP",3,1,1,0,0,1,0,1,1
"0GBR","0GBR",3,1,1,0,1,0,1,0,0
"0GBY","0GBY",3,1,1,0,1,1,0,0,1
"0GDB","0GDB",2,3,1,1,1,1,1,1,0
"0GDD","0GDD",3,3,1,1,1,0,1,1,1
"0GDG","0GDG",2,3,1,1,1,1,0,1,1
"0GDP","0GDP",3,3,1,1,0,0,0,0,0
"0GDR","0GDR",2,3,1,1,0,1,1,0,1
"0GDY","0GDY",3,3,1,1,0,0,0,0,0
"0GGB","0GGB",2,1,1,0,0,0,0,0,0
"0GGD","0GGD",3,1,1,0,0,0,0,0,0
"0GGG","0GGG",2,1,1,0,0,0,0,0,0
"0GGP","0GGP",3,1,1,1,0,1,0,0,0
"0GGR","0GGR",2,1,1,1,0,1,1,1,1
"0GGY","0GGY",3,1,1,1,1,1,1,1,1
"0GPB","0GPB",3,3,1,0,0,0,0,0,0
"0GPD","0GPD",3,3,1,0,0,0,0,0,0
"0GPG","0GPG",2,3,1,1,0,0,0,0,0
"0GPP","0GPP",1,3,1,0,0,0,1,1,1
"0GPR","0GPR",2,1,1,0,0,0,0,1,0
"0GPY","0GPY",3,3,1,0,0,0,0,0,0
"0GRB","0GRB",3,1,1,1,0,0,0,0,0
"0GRD","0GRD",2,3,1,0,0,0,0,0,0
"0GRG","0GRG",1,3,1,0,0,0,1,1,1
"0GRP","0GRP",2,3,1,0,1,1,0,1,0
"0GRY","0GRY",2,3,1,0,0,0,0,0,0
"0GYB","0GYB",3,3,1,1,0,1,1,0,0
"0GYD","0GYD",2,1,1,1,1,0,0,0,0
"0GYG","0GYG",3,1,1,0,0,1,1,1,1
"0GYP","0GYP",1,3,1,0,0,0,0,0,0
"0GYR","0GYR",3,1,1,0,0,1,0,1,1
"0GYY","0GYY",3,1,1,0,0,0,1,1,1
"0RBB","0RBB",3,1,1,0,0,1,1,0,0
"0RBD","0RBD",2,3,1,0,0,0,0,0,0
"0RBG","0RBG",3,3,1,0,0,0,0,0,0
"0RBP","0RBP",2,1,1,0,0,0,0,0,0
"0RBY","0RBY",2,3,1,0,0,0,0,0,0
"0RDB","0RDB",2,3,1,1,1,0,0,0,0
"0RDD","0RDD",3,2,1,0,0,0,0,0,0
"0RDG","0RDG",2,2,1,0,1,1,1,0,0
"0RDP","0RDP",3,3,1,0,0,0,1,1,0
"0RDR","0RDR",2,2,1,1,0,0,0,1,0
"0RDY","0RDY",2,2,1,0,0,0,0,0,0
"0RGB","0RGB",1,2,1,1,1,0,0,1,0
"0RGD","0RGD",1,2,1,0,0,1,1,0,1
"0RGG","0RGG",1,2,1,1,1,0,0,0,0
"0RGP","0RGP",2,2,1,0,0,0,0,0,0
"0RGR","0RGR",3,2,1,0,0,0,0,0,0
"0RGY","0RGY",2,2,1,0,1,1,1,0,1
"0RPB","0RPB",3,3,1,0,0,0,0,0,0
"0RPD","0RPD",2,3,1,0,1,0,0,1,0
"0RPG","0RPG",3,3,1,0,0,0,0,0,0
"0RPP","0RPP",2,3,1,0,0,0,0,0,0
"0RPR","0RPR",2,3,1,0,0,1,1,1,1
"0RPY","0RPY",2,3,1,1,1,0,1,1,1
"0RRB","0RRB",2,2,1,0,0,1,1,1,1
"0RRD","0RRD",2,2,1,1,0,0,0,0,0
"0RRG","0RRG",3,2,1,0,0,0,0,0,0
"0RRP","0RRP",3,2,1,0,0,0,0,0,0
"0RRR","0RRR",1,2,1,0,1,0,1,1,1
"0RRY","0RRY",2,2,1,1,1,1,0,0,0
"0RYB","0RYB",2,2,1,1,1,0,1,0,1
"0RYD","0RYD",3,2,1,0,0,0,0,1,1
"0RYG","0RYG",2,2,1,1,1,0,0,0,0
"0RYR","0RYR",3,2,1,1,0,0,0,0,0
"0RYY","0RYY",1,2,1,1,0,1,1,0,0
"0YBD","0YBD",3,3,NA,1,0,0,0,0,0
"0YBG","0YBG",3,3,NA,1,0,0,0,0,0
"0YBY","0YBY",3,3,NA,1,0,1,1,1,1
"0YDB","0YDB",1,2,1,1,0,0,1,1,1
"0YDD","0YDD",1,1,1,0,0,0,0,0,0
"0YDG","0YDG",1,1,1,0,1,0,0,0,0
"0YDP","0YDP",2,2,1,1,0,0,0,0,0
"0YDR","0YDR",1,1,1,0,1,0,0,0,1
"0YDY","0YDY",2,1,1,0,1,0,0,0,0
"0YGB","0YGB",1,1,1,0,0,0,0,0,0
"0YGD","0YGD",2,1,1,0,0,0,0,0,0
"0YGG","0YGG",2,1,1,0,1,0,0,0,1
"0YGP","0YGP",2,1,1,0,1,1,0,1,1
