no,id,No.,date,month,year,treatment,newsection,distance,cluster,fl,w,bh,bw,k,sex
1,0DDD,2298,2016/8/15,August,2016,late,L2,420,3rd,73,4.8,13,nd,12.33879239,nd
2,0DDD,4372,2017/7/29,July,2017,late,L2,475,3rd,104,12.3,20,12,10.93465521,nd
4,0DDD,4102,2017/5/27,May,2017,late,L2,470,3rd,99,10.6,18,nd,10.92446761,nd
5,0DDP,4768,2017/10/10,October,2017,early ,Einterval,130,NA,136,34.9,30,16.3,13.874224,male
6,0DDP,2303,2016/8/15,August,2016,late,L2,440,NA,76,6.7,15,nd,15.26279341,male
7,0DDP,3249,2017/3/18,March,2017,early ,E2,160,NA,93,10.2,20,nd,12.68093645,male
8,0DDR,2665,2016/8/18,August,2016,control,C2,980,1st,100,11.9,18,nd,11.9,female
9,0DDR,3064,2016/10/12,October,2016,control,C2,980,1st,100,13.2,21,nd,13.2,female
10,0DDY,2249,2016/8/15,August,2016,late,L2,420,1st,106,14,21,nd,11.75466996,nd
11,0DRB,3188,2016/10/13,October,2016,early ,E2,220,2nd,67,3.9,13,nd,12.96702054,male
12,0DRB,4987,2017/10/12,October,2017,early ,E2,210,2nd,145,38.2,31,17.5,12.53023904,male
14,0DRD,5012,2017/10/13,October,2017,control,C1,610,3rd,97,12.4,31,11.4,13.58646525,nd
15,0DRD,2736,2016/8/18,August,2016,control,C1,570,3rd,67,4,12,nd,13.29950825,nd
16,0DRD,3484,2017/3/28,March,2017,control,C1,570,3rd,76,6.4,16,nd,14.57938475,nd
18,0DRD,4134,2017/5/27,May,2017,control,C1,570,3rd,85,9.8,20,nd,15.95766334,nd
19,0DRD,3108,2016/10/12,October,2016,control,C1,570,3rd,77,5.6,14,nd,12.2663641,nd
20,0DRD,4401,2017/7/29,July,2017,control,C1,590,3rd,97,13.7,24,12.2,15.01085274,nd
21,0DRG,2941,2016/10/11,October,2016,early ,E1,70,3rd,78,5.7,13,nd,12.01132858,female
22,0DRG,2582,2016/8/17,August,2016,early ,E1,80,3rd,67,3.8,13,nd,12.63453284,female
23,0DRG,3969,2017/5/25,May,2017,early ,E1,90,3rd,90,7.6,18,nd,10.42524005,female
24,0DRG,4951,2017/10/12,October,2017,early ,E1,80,3rd,96,9,17,11.3,10.17252604,female
26,0DRP,5023,2017/10/13,October,2017,control,C1,620,3rd,106,14.1,19,12.1,11.83863189,nd
27,0DRP,3125,2016/10/12,October,2016,control,C1,600,3rd,75,5.4,14,nd,12.8,nd
28,0DRP,4420,2017/7/29,July,2017,control,C1,630,3rd,104,13.3,21,12,11.82365157,nd
29,0DRP,2741,2016/8/18,August,2016,control,C1,620,3rd,71,4.6,13,nd,12.85235715,nd
31,0DRR,3949,2017/5/25,May,2017,early ,E1,40,3rd,105,12.9,20,nd,11.14350502,nd
32,0DRR,4195,2017/7/27,July,2017,early ,E1,20,3rd,124,23.9,28,13.7,12.53524554,nd
33,0DRR,2579,2016/8/17,August,2016,early ,E1,70,3rd,69,4.2,13,nd,12.78503785,nd
34,0DRY,2726,2016/8/18,August,2016,control,C1,670,NA,70,4.1,13,nd,11.95335277,nd
35,0DRY,3150,2016/10/12,October,2016,control,C1,660,NA,74,4.1,13,nd,10.11786074,nd
36,0DYD,2639,2016/8/18,August,2016,control,C2,1010,3rd,74,4.5,12,nd,11.1049691,female
37,0DYD,3083,2016/10/12,October,2016,control,C2,1010,3rd,76,5,14,nd,11.39014434,female
38,0DYY,4506,2017/7/30,July,2017,control,C2,1010,2nd,137,30.3,29,15,11.78367964,male
39,0DYY,3076,2016/10/12,October,2016,control,C2,1000,2nd,88,8.1,15,nd,11.88603494,male
41,0DYY,4028,2017/5/26,May,2017,control,C2,1010,2nd,132,21.5,28,nd,9.347956145,male
42,0DYY,4871,2017/10/11,October,2017,control,C2,1010,2nd,141,32.6,29,16.1,11.62947909,male
43,0DYY,3368,2017/3/20,March,2017,control,C2,1010,2nd,101,12.4,20,nd,12.03531783,male
