id,year,month,day,section,landmark,treatment,fork_length,distance,cluster
0DDD,2016,8,15,L2,442,late,73,420,3rd
0DDD,2017,5,27,L2,447,late,99,470,3rd
0DDD,2017,7,29,L2,447.5,late,104,475,3rd
0DDR,2016,10,12,C2,498,control,100,980,1st
0DDR,2016,8,18,C2,498,control,100,980,1st
0DDY,2016,8,15,L2,442,late,106,420,1st
0DRB,2017,10,12,E2,421,early,145,210,2nd
0DRB,2016,10,13,E2,422,early,67,220,2nd
0DRD,2016,10,12,C1,457,control,77,570,3rd
0DRD,2017,7,29,C1,459,control,97,590,3rd
0DRD,2017,5,27,C1,457,control,85,570,3rd
0DRD,2016,8,18,C1,457,control,67,570,3rd
0DRD,2017,10,13,C1,461,control,97,610,3rd
0DRD,2017,3,28,C1,457,control,76,570,3rd
0DRG,2017,5,25,E1,409,early,90,90,3rd
0DRG,2016,10,11,E1,407,early,78,70,3rd
0DRG,2016,8,17,E1,408,early,67,80,3rd
0DRG,2017,10,12,E1,408,early,96,80,3rd
0DRP,2016,8,18,C1,462,control,71,620,3rd
0DRP,2017,10,13,C1,462,control,106,620,3rd
0DRP,2017,7,29,C1,463,control,104,630,3rd
0DRP,2016,10,12,C1,460,control,75,600,3rd
0DRR,2016,8,17,E1,407,early,69,70,3rd
0DRR,2017,7,27,E1,402,early,124,20,3rd
0DRR,2017,5,25,E1,404,early,105,40,3rd
0DRY,2016,10,12,C1,466,control,74,660,3rd
0DRY,2016,8,18,C1,467,control,70,670,3rd
0DYD,2016,10,12,C2,501,control,76,1010,3rd
0DYD,2016,8,18,C2,501,control,74,1010,3rd
0DYY,2016,10,12,C2,500,control,88,1000,2nd
0DYY,2017,5,26,C2,501,control,132,1010,2nd
0DYY,2017,7,30,C2,501,control,137,1010,2nd
0DYY,2017,3,20,C2,501,control,101,1010,2nd
0DYY,2017,10,11,C2,501,control,141,1010,2nd
0GBB,2016,5,28,C2,496,control,62,960,3rd
0GBD,2017,3,20,C2,495,control,112,950,2nd
0GBD,2016,5,28,C2,494,control,77,940,2nd
0GBD,2016,10,12,C2,494,control,90,940,2nd
0GBD,2017,10,11,C2,494,control,128,940,2nd
0GBD,2017,5,26,C2,494,control,127,940,2nd
0GBG,2017,3,20,C2,494,control,115,940,1st
0GBG,2017,7,30,C2,494,control,143,940,1st
0GBG,2016,5,28,C2,493,control,75,930,1st
0GBG,2016,10,12,C2,494,control,95,940,1st
0GBG,2017,10,11,C2,494,control,146,940,1st
0GBG,2017,5,26,C2,493,control,140,930,1st
0GBG,2016,8,18,C2,493,control,85,930,1st
0GBP,2017,7,30,C2,494,control,104,940,3rd
0GBP,2017,10,11,C2,494,control,106,940,3rd
0GBP,2016,5,28,C2,495,control,60,950,3rd
0GBP,2017,3,20,C2,494,control,77,940,3rd
0GBR,2017,5,26,C2,494,control,105,940,3rd
0GBR,2016,10,12,C2,493,control,75,930,3rd
0GBR,2016,5,28,C2,492,control,58,920,3rd
0GBY,2016,5,28,C2,494,control,63,940,3rd
0GBY,2017,10,11,C2,500,control,112,1000,3rd
0GBY,2017,3,20,C2,501,control,92,1010,3rd
0GBY,2016,10,12,C2,500,control,77,1000,3rd
0GDB,2016,8,16,L3,477,late,77,770,2nd
0GDB,2017,7,31,L3,476.5,late,126,765,2nd
0GDB,2017,5,26,L3,475,late,124,750,2nd
0GDB,2016,10,11,L3,475,late,83,750,2nd
0GDB,2017,3,29,L3,475,late,99,750,2nd
0GDB,2016,5,27,L3,477,late,77,770,2nd
0GDD,2017,5,26,L3,477,late,95,770,3rd
0GDD,2017,7,31,L3,476.5,late,96,765,3rd
0GDD,2016,8,16,L3,477,late,69,770,3rd
0GDD,2016,10,11,L3,477,late,74,770,3rd
0GDD,2017,10,11,L3,477,late,105,770,3rd
0GDD,2016,5,27,L3,477,late,62,770,3rd
0GDG,2016,5,27,L3,475,late,69,750,2nd
0GDG,2017,3,29,L3,474,late,97,740,2nd
0GDG,2017,10,11,L3,474,late,132,740,2nd
0GDG,2016,10,11,L3,475,late,83,750,2nd
0GDG,2016,8,16,L3,475,late,76,750,2nd
0GDG,2017,7,31,L3,474,late,120,740,2nd
0GDP,2016,5,27,L3,477,late,69,770,3rd
0GDP,2016,8,16,L3,477,late,72,770,3rd
0GDR,2017,5,26,L3,477,late,115,770,2nd
0GDR,2017,3,29,L3,476.5,late,106,765,2nd
0GDR,2016,5,27,L3,475,late,67,750,2nd
0GDR,2017,10,11,L3,478,late,135,780,2nd
0GDR,2016,8,16,L3,475,late,70,750,2nd
0GDY,2016,5,27,L3,476,late,70,760,3rd
0GDY,2016,8,16,L3,476,late,70,760,3rd
0GGB,2016,5,27,C1,461,control,72,610,2nd
0GGD,2016,5,27,C1,459,control,57,590,3rd
0GGG,2016,5,27,C1,459,control,74,590,2nd
0GGP,2016,5,27,C1,460,control,61,600,3rd
0GGP,2017,3,28,C1,458,control,77,580,3rd
0GGP,2016,8,18,C1,460,control,70,600,3rd
0GGR,2016,8,18,C1,458,control,80,580,2nd
0GGR,2017,10,13,C1,466,control,123,660,2nd
0GGR,2017,5,27,C1,458,control,120,580,2nd
0GGR,2017,3,28,C1,458,control,100,580,2nd
0GGR,2016,5,27,C1,458,control,74,580,2nd
0GGR,2017,7,29,C1,468,control,119,680,2nd
0GGY,2016,8,18,C1,459,control,76,590,3rd
0GGY,2017,7,29,C1,459,control,103,590,3rd
0GGY,2016,10,12,C1,459,control,85,590,3rd
0GGY,2016,5,27,C1,459,control,72,590,3rd
0GGY,2017,10,13,C1,459,control,102,590,3rd
0GGY,2017,3,28,C1,459,control,90,590,3rd
0GGY,2017,5,27,C1,458,control,103,580,3rd
0GPB,2016,5,27,L3,488,late,62,880,3rd
0GPD,2016,5,27,L3,488,late,54,880,3rd
0GPG,2016,8,16,L3,478,late,72,780,2nd
0GPG,2016,5,27,L3,479,late,73,790,2nd
0GPP,2016,5,27,L3,488,late,58,880,1st
0GPP,2017,5,26,L3,487,late,145,870,1st
0GPP,2017,10,11,L3,480,late,176,800,1st
0GPP,2017,7,31,L3,489,late,149,890,1st
0GPR,2016,5,28,C2,492,control,75,920,2nd
0GPR,2017,7,30,C2,492,control,124,920,2nd
0GPY,2016,5,27,L3,485,late,65,850,3rd
0GRB,2016,5,27,C1,457,control,60,570,3rd
0GRB,2016,8,18,C1,457,control,71,570,3rd
0GRD,2016,5,25,L2,447,late,66,470,2nd
0GRG,2017,7,29,L2,451,late,117,510,2nd
0GRG,2017,5,27,L2,450,late,120,500,2nd
0GRG,2016,5,25,L2,447,late,78,470,2nd
0GRG,2017,10,10,L2,451,late,119,510,2nd
0GRP,2016,5,25,L2,449,late,70,490,2nd
0GRP,2016,10,10,L2,449,late,98,490,2nd
0GRP,2017,7,29,L2,449,late,131,490,2nd
0GRP,2017,3,19,L2,450,late,105,500,2nd
0GRR,2017,5,27,L2,446,late,134,460,2nd
0GRR,2016,5,25,L2,444,late,62,440,2nd
0GRR,2016,8,15,L2,444,late,72,440,2nd
0GRR,2017,7,29,L2,444,late,136,440,2nd
0GRY,2016,5,25,L2,447,late,75,470,2nd
0GYB,2017,5,26,L3,474,late,111,740,3rd
0GYB,2016,8,16,L3,474,late,75,740,3rd
0GYB,2016,5,27,L3,474,late,60,740,3rd
0GYB,2017,3,29,L3,474,late,90,740,3rd
0GYD,2016,10,12,C1,467,control,86,670,2nd
0GYD,2016,5,27,C1,468,control,69,680,2nd
0GYD,2016,8,18,C1,467,control,81,670,2nd
0GYG,2017,3,28,C1,468,control,85,680,3rd
0GYG,2017,10,13,C1,469,control,113,690,3rd
0GYG,2017,5,27,C1,469,control,103,690,3rd
0GYG,2016,5,27,C1,468,control,63,680,3rd
0GYG,2017,7,29,C1,469,control,108,690,3rd
0GYP,2016,5,27,L3,473,late,78,730,1st
0GYR,2017,7,29,C1,466,control,106,660,3rd
0GYR,2016,5,27,C1,465,control,59,650,3rd
0GYR,2017,10,13,C1,466,control,107,660,3rd
0GYR,2017,3,28,C1,466,control,76,660,3rd
0GYY,2017,5,27,C1,468,control,103,680,3rd
0GYY,2016,5,27,C1,468,control,61,680,3rd
0GYY,2017,10,13,C1,468,control,113,680,3rd
0GYY,2017,7,29,C1,469,control,111,690,3rd
0RBB,2016,5,27,C1,457,control,62,570,3rd
0RBB,2017,5,27,C1,456,control,119,560,3rd
0RBB,2017,3,28,C1,457,control,84,570,3rd
0RBD,2016,5,25,L2,443,late,73,430,2nd
0RBG,2016,5,25,L1,439,late,56,390,3rd
0RBP,2016,5,27,C1,456,control,72,560,2nd
0RBY,2016,5,25,L1,439,late,73,390,2nd
0RDB,2016,10,10,L1,431,late,96,310,2nd
0RDB,2016,5,25,L1,431,late,61,310,2nd
0RDB,2016,8,16,L1,431,late,80,310,2nd
0RDD,2016,5,24,E2,423,early,60,230,3rd
0RDG,2016,10,13,E2,424,early,94,240,2nd
0RDG,2017,3,18,E2,424,early,101,240,2nd
0RDG,2016,5,24,E2,423,early,67,230,2nd
0RDG,2017,5,24,E2,418,early,113,180,2nd
0RDP,2017,7,28,L1,436,late,101,360,3rd
0RDP,2016,5,25,L1,431,late,54,310,3rd
0RDP,2017,5,24,L1,436,late,98,360,3rd
0RDR,2017,7,28,E2,424,early,135,240,2nd
0RDR,2016,5,24,E2,423,early,69,230,2nd
0RDR,2016,8,17,E2,423,early,75,230,2nd
0RDY,2016,5,24,E2,423,early,66,230,2nd
0RGB,2016,10,13,E2,418,early,105,180,1st
0RGB,2016,8,17,E2,418,early,100,180,1st
0RGB,2017,7,28,E2,415,early,171,150,1st
0RGB,2016,5,24,E2,417,early,74,170,1st
0RGD,2017,5,25,E1,408,early,135,80,1st
0RGD,2017,3,19,E2,415,early,121,150,1st
0RGD,2017,10,12,E1,408,early,143,80,1st
0RGD,2016,5,24,E2,415,early,71,150,1st
0RGG,2016,10,11,E1,408,early,99,80,1st
0RGG,2016,8,17,E1,406,early,92,60,1st
