"","id","no","year","month","day","treatment","section","landmark","fork.length_mm","weight_g","mature","cohort","phenotypic.sex","genotypic.sex","sex_merged","distance","cluster"
"1","0DDD",130,2016,8,15,"late","L2",442,73,4.8,"nd",2016,"nd","nd","nd",420,"3rd"
"2","0DDD",634,2017,5,27,"late","L2",447,99,10.6,"nd",2016,"nd","nd","nd",470,"3rd"
"3","0DDD",703,2017,7,29,"late","L2",447.5,104,12.3,"nd",2016,"nd","nd","nd",475,"3rd"
"4","0DDR",266,2016,8,18,"control","C2",498,100,11.9,"nd",2016,"nd","nd","nd",980,"1st"
"5","0DDR",390,2016,10,12,"control","C2",498,100,13.2,"0",2016,"nd","nd","nd",980,"1st"
"6","0DDY",125,2016,8,15,"late","L2",442,106,14,"nd",2016,"nd","nd","nd",420,"1st"
"7","0DRB",440,2016,10,13,"early ","E2",422,67,3.9,"0",2016,"nd","nd","nd",220,"2nd"
"8","0DRB",852,2017,10,12,"early ","E2",421,145,38.2,"1",2016,"male","nd","male",210,"2nd"
"9","0DRD",508,2017,3,28,"control","C1",457,76,6.4,"nd",2016,"nd","nd","nd",570,"3rd"
"10","0DRD",411,2016,10,12,"control","C1",457,77,5.6,"0",2016,"nd","nd","nd",570,"3rd"
"11","0DRD",860,2017,10,13,"control","C1",461,97,12.4,"0",2016,"nd","male","male",610,"3rd"
"12","0DRD",709,2017,7,29,"control","C1",459,97,13.7,"nd",2016,"nd","nd","nd",590,"3rd"
"13","0DRD",293,2016,8,18,"control","C1",457,67,4,"nd",2016,"nd","nd","nd",570,"3rd"
"14","0DRD",639,2017,5,27,"control","C1",457,85,9.8,"nd",2016,"nd","nd","nd",570,"3rd"
"15","0DRG",842,2017,10,12,"early ","E1",408,96,9,"0",2016,"nd","female","female",80,"3rd"
"16","0DRG",232,2016,8,17,"early ","E1",408,67,3.8,"nd",2016,"nd","nd","nd",80,"3rd"
"17","0DRG",580,2017,5,25,"early ","E1",409,90,7.6,"nd",2016,"nd","nd","nd",90,"3rd"
"18","0DRG",334,2016,10,11,"early ","E1",407,78,5.7,"0",2016,"nd","nd","nd",70,"3rd"
"19","0DRP",716,2017,7,29,"control","C1",463,104,13.3,"nd",2016,"nd","nd","nd",630,"3rd"
"20","0DRP",295,2016,8,18,"control","C1",462,71,4.6,"nd",2016,"nd","nd","nd",620,"3rd"
"21","0DRP",417,2016,10,12,"control","C1",460,75,5.4,"0",2016,"nd","nd","nd",600,"3rd"
"22","0DRP",864,2017,10,13,"control","C1",462,106,14.1,"0",2016,"nd","female","female",620,"3rd"
"23","0DRR",230,2016,8,17,"early ","E1",407,69,4.2,"nd",2016,"nd","nd","nd",70,"3rd"
"24","0DRR",574,2017,5,25,"early ","E1",404,105,12.9,"nd",2016,"nd","nd","nd",40,"3rd"
"25","0DRR",657,2017,7,27,"early ","E1",402,124,23.9,"nd",2016,"nd","nd","nd",20,"3rd"
"26","0DRY",292,2016,8,18,"control","C1",467,70,4.1,"nd",2016,"nd","nd","nd",670,"3rd"
"27","0DRY",426,2016,10,12,"control","C1",466,74,4.1,"0",2016,"nd","nd","nd",660,"3rd"
"28","0DYD",401,2016,10,12,"control","C2",501,76,5,"0",2016,"nd","nd","nd",1010,"3rd"
"29","0DYD",255,2016,8,18,"control","C2",501,74,4.5,"nd",2016,"nd","nd","nd",1010,"3rd"
"30","0DYY",494,2017,3,20,"control","C2",501,101,12.4,"nd",2016,"nd","nd","nd",1010,"2nd"
"31","0DYY",824,2017,10,11,"control","C2",501,141,32.6,"1",2016,"male","nd","male",1010,"2nd"
"32","0DYY",612,2017,5,26,"control","C2",501,132,21.5,"nd",2016,"nd","nd","nd",1010,"2nd"
