"","id","X.1","X","No.","year","month","day","newsection","landmark","treatment","pulse","fl","matureall","maturesex.x","No","cohort","cohortsureness","maturesex.y","geneticsex","difference","sex","distance","cluster"
"1","0DDD",46,46,2298,2016,8,15,"L2",442,"late",0,73,-1,"nonbreeding",505,2016,1,NA,NA,"nd","nd",420,"3rd"
"2","0DDD",47,47,4102,2017,5,27,"L2",447,"late",0,99,-1,"nonbreeding",505,2016,1,NA,NA,"nd","nd",470,"3rd"
"3","0DDD",48,48,4372,2017,7,29,"L2",447.5,"late",0,104,-1,"nonbreeding",505,2016,1,NA,NA,"nd","nd",475,"3rd"
"4","0DDR",53,53,3064,2016,10,12,"C2",498,"control",0,100,0,"non",62,2016,1,NA,"female","nd","female",980,"1st"
"5","0DDR",54,54,2665,2016,8,18,"C2",498,"control",0,100,-1,"nonbreeding",62,2016,1,NA,"female","nd","female",980,"1st"
"6","0DDY",55,55,2249,2016,8,15,"L2",442,"late",0,106,-1,"nonbreeding",507,2016,1,NA,NA,"nd","nd",420,"1st"
"7","0DRB",82,82,4987,2017,10,12,"E2",421,"early ",0,145,1,"male",307,2016,1,"male",NA,"nd","male",210,"2nd"
"8","0DRB",83,83,3188,2016,10,13,"E2",422,"early ",0,67,0,"non",307,2016,1,"male",NA,"nd","male",220,"2nd"
"9","0DRD",84,84,3108,2016,10,12,"C1",457,"control",0,77,0,"non",129,2016,1,NA,"male","nd","nd",570,"3rd"
"10","0DRD",85,85,4401,2017,7,29,"C1",459,"control",0,97,-1,"nonbreeding",129,2016,1,NA,"male","nd","nd",590,"3rd"
"11","0DRD",86,86,4134,2017,5,27,"C1",457,"control",0,85,-1,"nonbreeding",129,2016,1,NA,"male","nd","nd",570,"3rd"
"12","0DRD",87,87,2736,2016,8,18,"C1",457,"control",0,67,-1,"nonbreeding",129,2016,1,NA,"male","nd","nd",570,"3rd"
"13","0DRD",88,88,5012,2017,10,13,"C1",461,"control",0,97,0,"non",129,2016,1,NA,"male","nd","nd",610,"3rd"
"14","0DRD",89,89,3484,2017,3,28,"C1",457,"control",0,76,-1,"nonbreeding",129,2016,1,NA,"male","nd","nd",570,"3rd"
"15","0DRG",90,90,3969,2017,5,25,"E1",409,"early ",0,90,-1,"nonbreeding",63,2016,1,NA,"female","nd","female",90,"3rd"
"16","0DRG",91,91,2941,2016,10,11,"E1",407,"early ",0,78,0,"non",63,2016,1,NA,"female","nd","female",70,"3rd"
"17","0DRG",92,92,2582,2016,8,17,"E1",408,"early ",1,67,-1,"nonbreeding",63,2016,1,NA,"female","nd","female",80,"3rd"
"18","0DRG",93,93,4951,2017,10,12,"E1",408,"early ",0,96,0,"non",63,2016,1,NA,"female","nd","female",80,"3rd"
"19","0DRP",94,94,2741,2016,8,18,"C1",462,"control",0,71,-1,"nonbreeding",64,2016,1,NA,"pseudo","nd","nd",620,"3rd"
"20","0DRP",95,95,5023,2017,10,13,"C1",462,"control",0,106,0,"non",64,2016,1,NA,"pseudo","nd","nd",620,"3rd"
"21","0DRP",96,96,4420,2017,7,29,"C1",463,"control",0,104,-1,"nonbreeding",64,2016,1,NA,"pseudo","nd","nd",630,"3rd"
"22","0DRP",97,97,3125,2016,10,12,"C1",460,"control",0,75,0,"non",64,2016,1,NA,"pseudo","nd","nd",600,"3rd"
"23","0DRR",98,98,2579,2016,8,17,"E1",407,"early ",1,69,-1,"nonbreeding",520,2016,1,NA,NA,"nd","nd",70,"3rd"
"24","0DRR",99,99,4195,2017,7,27,"E1",402,"early ",1,124,-1,"nonbreeding",520,2016,1,NA,NA,"nd","nd",20,"3rd"
"25","0DRR",100,100,3949,2017,5,25,"E1",404,"early ",0,105,-1,"nonbreeding",520,2016,1,NA,NA,"nd","nd",40,"3rd"
"26","0DRY",101,101,3150,2016,10,12,"C1",466,"control",0,74,0,"non",130,2016,1,NA,"male","nd","nd",660,"3rd"
"27","0DRY",102,102,2726,2016,8,18,"C1",467,"control",0,70,-1,"nonbreeding",130,2016,1,NA,"male","nd","nd",670,"3rd"
"28","0DYD",106,106,3083,2016,10,12,"C2",501,"control",0,76,0,"non",65,2016,1,NA,"female","nd","female",1010,"3rd"
"29","0DYD",107,107,2639,2016,8,18,"C2",501,"control",0,74,-1,"nonbreeding",65,2016,1,NA,"female","nd","female",1010,"3rd"
"30","0DYY",116,116,3076,2016,10,12,"C2",500,"control",0,88,0,"non",308,2016,1,"male",NA,"nd","male",1000,"2nd"
"31","0DYY",117,117,4028,2017,5,26,"C2",501,"control",0,132,-1,"nonbreeding",308,2016,1,"male",NA,"nd","male",1010,"2nd"
"32","0DYY",118,118,4506,2017,7,30,"C2",501,"control",0,137,-1,"nonbreeding",308,2016,1,"male",NA,"nd","male",1010,"2nd"
"33","0DYY",119,119,3368,2017,3,20,"C2",501,"control",0,101,-1,"nonbreeding",308,2016,1,"male",NA,"nd","male",1010,"2nd"
"34","0DYY",120,120,4871,2017,10,11,"C2",501,"control",0,141,1,"male",308,2016,1,"male",NA,"nd","male",1010,"2nd"
"35","0GBB",121,121,2071,2016,5,28,"C2",496,"control",0,62,-1,"nonbreeding",525,2016,1,NA,NA,"nd","nd",960,"3rd"
"36","0GBD",122,122,3347,2017,3,20,"C2",495,"control",0,112,-1,"nonbreeding",131,2016,1,NA,"male","nd","nd",950,"2nd"
"37","0GBD",123,123,2066,2016,5,28,"C2",494,"control",0,77,-1,"nonbreeding",131,2016,1,NA,"male","nd","nd",940,"2nd"
"38","0GBD",124,124,3050,2016,10,12,"C2",494,"control",0,90,0,"non",131,2016,1,NA,"male","nd","nd",940,"2nd"
"39","0GBD",125,125,4852,2017,10,11,"C2",494,"control",0,128,0,"non",131,2016,1,NA,"male","nd","nd",940,"2nd"
"40","0GBD",126,126,4005,2017,5,26,"C2",494,"control",0,127,-1,"nonbreeding",131,2016,1,NA,"male","nd","nd",940,"2nd"
"41","0GBG",127,127,3344,2017,3,20,"C2",494,"control",0,115,-1,"nonbreeding",1,2016,1,"female","female","0","female",940,"1st"
"42","0GBG",128,128,4477,2017,7,30,"C2",494,"control",0,143,-1,"nonbreeding",1,2016,1,"female","female","0","female",940,"1st"
"43","0GBG",129,129,2059,2016,5,28,"C2",493,"control",0,75,-1,"nonbreeding",1,2016,1,"female","female","0","female",930,"1st"
"44","0GBG",130,130,3041,2016,10,12,"C2",494,"control",0,95,0,"non",1,2016,1,"female","female","0","female",940,"1st"
"45","0GBG",131,131,4843,2017,10,11,"C2",494,"control",0,146,1,"female",1,2016,1,"female","female","0","female",940,"1st"
"46","0GBG",132,132,3992,2017,5,26,"C2",493,"control",0,140,-1,"nonbreeding",1,2016,1,"female","female","0","female",930,"1st"
"47","0GBG",133,133,2621,2016,8,18,"C2",493,"control",0,85,-1,"nonbreeding",1,2016,1,"female","female","0","female",930,"1st"
"48","0GBP",134,134,4478,2017,7,30,"C2",494,"control",0,104,-1,"nonbreeding",526,2016,1,NA,"pseudo","nd","nd",940,"3rd"
"49","0GBP",135,135,4845,2017,10,11,"C2",494,"control",0,106,0,"non",526,2016,1,NA,"pseudo","nd","nd",940,"3rd"
"50","0GBP",136,136,2070,2016,5,28,"C2",495,"control",0,60,-1,"nonbreeding",526,2016,1,NA,"pseudo","nd","nd",950,"3rd"
"51","0GBP",137,137,3346,2017,3,20,"C2",494,"control",0,77,-1,"nonbreeding",526,2016,1,NA,"pseudo","nd","nd",940,"3rd"
"52","0GBR",138,138,4002,2017,5,26,"C2",494,"control",0,105,-1,"nonbreeding",1489,2016,1,NA,"pseudo","nd","nd",940,"3rd"
"53","0GBR",139,139,3039,2016,10,12,"C2",493,"control",0,75,0,"non",1489,2016,1,NA,"pseudo","nd","nd",930,"3rd"
"54","0GBR",140,140,2055,2016,5,28,"C2",492,"control",0,58,-1,"nonbreeding",1489,2016,1,NA,"pseudo","nd","nd",920,"3rd"
"55","0GBY",141,141,2065,2016,5,28,"C2",494,"control",0,63,-1,"nonbreeding",132,2016,1,NA,"male","nd","nd",940,"3rd"
"56","0GBY",142,142,4867,2017,10,11,"C2",500,"control",0,112,0,"non",132,2016,1,NA,"male","nd","nd",1000,"3rd"
"57","0GBY",143,143,3372,2017,3,20,"C2",501,"control",0,92,-1,"nonbreeding",132,2016,1,NA,"male","nd","nd",1010,"3rd"
"58","0GBY",144,144,3078,2016,10,12,"C2",500,"control",0,77,0,"non",132,2016,1,NA,"male","nd","nd",1000,"3rd"
"59","0GDB",145,145,2396,2016,8,16,"L3",477,"late",0,77,-1,"nonbreeding",66,2016,1,NA,"female","nd","female",770,"2nd"
"60","0GDB",146,146,4592,2017,7,31,"L3",476.5,"late",0,126,-1,"nonbreeding",66,2016,1,NA,"female","nd","female",765,"2nd"
"61","0GDB",147,147,4056,2017,5,26,"L3",475,"late",0,124,-1,"nonbreeding",66,2016,1,NA,"female","nd","female",750,"2nd"
"62","0GDB",148,148,2989,2016,10,11,"L3",475,"late",1,83,0,"non",66,2016,1,NA,"female","nd","female",750,"2nd"
"63","0GDB",149,149,3596,2017,3,29,"L3",475,"late",0,99,-1,"nonbreeding",66,2016,1,NA,"female","nd","female",750,"2nd"
"64","0GDB",150,150,2019,2016,5,27,"L3",477,"late",0,77,-1,"nonbreeding",66,2016,1,NA,"female","nd","female",770,"2nd"
"65","0GDD",151,151,4060,2017,5,26,"L3",477,"late",0,95,-1,"nonbreeding",67,2016,1,NA,"female","nd","female",770,"3rd"
"66","0GDD",152,152,4594,2017,7,31,"L3",476.5,"late",0,96,-1,"nonbreeding",67,2016,1,NA,"female","nd","female",765,"3rd"
"67","0GDD",153,153,2397,2016,8,16,"L3",477,"late",0,69,-1,"nonbreeding",67,2016,1,NA,"female","nd","female",770,"3rd"
"68","0GDD",154,154,3001,2016,10,11,"L3",477,"late",1,74,0,"non",67,2016,1,NA,"female","nd","female",770,"3rd"
"69","0GDD",155,155,4792,2017,10,11,"L3",477,"late",1,105,0,"non",67,2016,1,NA,"female","nd","female",770,"3rd"
"70","0GDD",156,156,2017,2016,5,27,"L3",477,"late",0,62,-1,"nonbreeding",67,2016,1,NA,"female","nd","female",770,"3rd"
"71","0GDG",157,157,2007,2016,5,27,"L3",475,"late",0,69,-1,"nonbreeding",68,2016,1,NA,"female","nd","female",750,"2nd"
"72","0GDG",158,158,3588,2017,3,29,"L3",474,"late",0,97,-1,"nonbreeding",68,2016,1,NA,"female","nd","female",740,"2nd"
"73","0GDG",159,159,4783,2017,10,11,"L3",474,"late",1,132,0,"non",68,2016,1,NA,"female","nd","female",740,"2nd"
"74","0GDG",160,160,2987,2016,10,11,"L3",475,"late",1,83,0,"non",68,2016,1,NA,"female","nd","female",750,"2nd"
"75","0GDG",161,161,2383,2016,8,16,"L3",475,"late",0,76,-1,"nonbreeding",68,2016,1,NA,"female","nd","female",750,"2nd"
"76","0GDG",162,162,4586,2017,7,31,"L3",474,"late",0,120,-1,"nonbreeding",68,2016,1,NA,"female","nd","female",740,"2nd"
"77","0GDP",163,163,2018,2016,5,27,"L3",477,"late",0,69,-1,"nonbreeding",133,2016,1,NA,"pseudo","nd","nd",770,"3rd"
"78","0GDP",164,164,2398,2016,8,16,"L3",477,"late",0,72,-1,"nonbreeding",133,2016,1,NA,"pseudo","nd","nd",770,"3rd"
"79","0GDR",165,165,4059,2017,5,26,"L3",477,"late",0,115,-1,"nonbreeding",1490,2016,1,NA,"pseudo","nd","nd",770,"2nd"
"80","0GDR",166,166,3598,2017,3,29,"L3",476.5,"late",0,106,-1,"nonbreeding",1490,2016,1,NA,"pseudo","nd","nd",765,"2nd"
"81","0GDR",167,167,2006,2016,5,27,"L3",475,"late",0,67,-1,"nonbreeding",1490,2016,1,NA,"pseudo","nd","nd",750,"2nd"
"82","0GDR",168,168,4798,2017,10,11,"L3",478,"late",1,135,0,"non",1490,2016,1,NA,"pseudo","nd","nd",780,"2nd"
"83","0GDR",169,169,2381,2016,8,16,"L3",475,"late",0,70,-1,"nonbreeding",1490,2016,1,NA,"pseudo","nd","nd",750,"2nd"
"84","0GDY",170,170,2012,2016,5,27,"L3",476,"late",0,70,-1,"nonbreeding",1491,2016,1,NA,"pseudo","nd","nd",760,"3rd"
"85","0GDY",171,171,2389,2016,8,16,"L3",476,"late",0,70,-1,"nonbreeding",1491,2016,1,NA,"pseudo","nd","nd",760,"3rd"
"86","0GGB",172,172,1959,2016,5,27,"C1",461,"control",0,72,-1,"nonbreeding",527,2016,1,NA,NA,"nd","nd",610,"2nd"
"87","0GGD",173,173,1946,2016,5,27,"C1",459,"control",0,57,-1,"nonbreeding",528,2016,1,NA,NA,"nd","nd",590,"3rd"
"88","0GGG",174,174,1944,2016,5,27,"C1",459,"control",0,74,-1,"nonbreeding",529,2016,1,NA,NA,"nd","nd",590,"2nd"
"89","0GGP",175,175,1956,2016,5,27,"C1",460,"control",0,61,-1,"nonbreeding",134,2016,1,NA,"pseudo","nd","nd",600,"3rd"
"90","0GGP",176,176,3490,2017,3,28,"C1",458,"control",0,77,-1,"nonbreeding",134,2016,1,NA,"pseudo","nd","nd",580,"3rd"
"91","0GGP",177,177,2701,2016,8,18,"C1",460,"control",0,70,-1,"nonbreeding",134,2016,1,NA,"pseudo","nd","nd",600,"3rd"
"92","0GGR",178,178,2693,2016,8,18,"C1",458,"control",0,80,-1,"nonbreeding",69,2016,1,NA,"female","nd","female",580,"2nd"
"93","0GGR",179,179,5039,2017,10,13,"C1",466,"control",0,123,0,"non",69,2016,1,NA,"female","nd","female",660,"2nd"
"94","0GGR",180,180,4136,2017,5,27,"C1",458,"control",0,120,-1,"nonbreeding",69,2016,1,NA,"female","nd","female",580,"2nd"
"95","0GGR",181,181,3489,2017,3,28,"C1",458,"control",0,100,-1,"nonbreeding",69,2016,1,NA,"female","nd","female",580,"2nd"
"96","0GGR",182,182,1943,2016,5,27,"C1",458,"control",0,74,-1,"nonbreeding",69,2016,1,NA,"female","nd","female",580,"2nd"
"97","0GGR",183,183,4444,2017,7,29,"C1",468,"control",0,119,-1,"nonbreeding",69,2016,1,NA,"female","nd","female",680,"2nd"
"98","0GGY",184,184,2696,2016,8,18,"C1",459,"control",0,76,-1,"nonbreeding",70,2016,1,NA,"female","nd","female",590,"3rd"
"99","0GGY",185,185,4403,2017,7,29,"C1",459,"control",0,103,-1,"nonbreeding",70,2016,1,NA,"female","nd","female",590,"3rd"
"100","0GGY",186,186,3115,2016,10,12,"C1",459,"control",0,85,0,"non",70,2016,1,NA,"female","nd","female",590,"3rd"
"101","0GGY",187,187,1945,2016,5,27,"C1",459,"control",0,72,-1,"nonbreeding",70,2016,1,NA,"female","nd","female",590,"3rd"
"102","0GGY",188,188,5007,2017,10,13,"C1",459,"control",0,102,0,"non",70,2016,1,NA,"female","nd","female",590,"3rd"
