"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"xi",0.527464802666667,0.0208390184357606,0.485544491904262,0.513790249934128,0.527928998559465,0.541477749833618,0.566973949726356,1.02258217572308,110
"mu.pi",0.900941168666667,0.0490581148420128,0.795069667226579,0.878123999984626,0.903333999995018,0.930159749737852,0.985633099755086,1.01540608389789,470
"sigma.pi",1.10839720493333,0.799410263176438,0.211814439109864,0.614777860557879,0.908094464056466,1.36572745716708,3.30456204888128,1.03223812310305,130
"p[1]",0.935378226,0.0190261891063922,0.894935553775131,0.922620749794231,0.936679499854673,0.948877499825718,0.968404173525871,1.00305414977771,660
"p[2]",0.915802968666667,0.0235695177900664,0.869526374709622,0.900312499996251,0.916401999860323,0.932359249955657,0.960021297736962,1.00531422715607,480
"p[3]",0.968444142,0.00818729113887073,0.95149869964566,0.963298999313277,0.969112499996775,0.974126999501104,0.982413799870034,1.00028366214049,1500
"p[4]",0.968297644666667,0.0169525662659986,0.933245399923043,0.956874999546952,0.969597999999484,0.981157249999904,0.99734839960794,1.02687690976639,89
"p[5]",0.970298136,0.0178396654086738,0.931477484525982,0.958209249948243,0.972147999967083,0.984422999657167,0.998687774984893,1.00263674239431,760
"p[6]",0.974425532666667,0.0170816813117022,0.936276374996671,0.962961999943923,0.976239999991805,0.988137999975712,0.999304399968058,1.00520673853194,1100
"phi[1]",1,0,1,1,1,1,1,1,1
"phi[2]",0.833917322666667,0.0460824881274282,0.738296786720352,0.802410998637171,0.836273998994947,0.866377498784211,0.915985414555245,1.00305416690684,660
"phi[3]",0.707533015333333,0.0445485123823615,0.622443690996951,0.674947499839429,0.707934499998411,0.741304499975213,0.791864057883582,1.00226284294707,1500
"phi[4]",0.59720185,0.0430199811267539,0.515548802205963,0.566984248968012,0.596740484388314,0.626004249367289,0.684963643164472,1.00095423329125,1500
"phi[5]",0.555596195333333,0.0405768855938473,0.478671324987236,0.527416243240096,0.554788999018546,0.583209972188159,0.635514276031245,1.00379990573479,530
"phi[6]",0.521086612,0.0419294227778909,0.442416396951719,0.493191496379618,0.520574499106516,0.547553249813549,0.610204215462427,1.00658976122874,310
"phi[7]",0.489240929333333,0.0462435646395552,0.404775974864154,0.457780999947573,0.488115999769522,0.517682249920138,0.586123962735385,1.00713245702236,300
"alpha",-2.06800780666667,0.040226479019822,-2.14859125,-2.09509,-2.06713,-2.041135,-1.98870925,1.00339166137486,870
"loglik[11,2]",-0.291019438666667,0.366041722840678,-0.812480775,-0.735125,0,0,0,1.00073645255876,1500
"loglik[12,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[13,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[14,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[15,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[16,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[17,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[18,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[19,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[20,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[21,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[22,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[23,2]",-0.289511745333333,0.365774617414709,-0.815060125,-0.7314545,0,0,0,1.00037307346961,1500
"loglik[24,2]",-0.28152322,0.361826810523728,-0.80891345,-0.723694,0,0,0,1.00151696424508,1300
"loglik[25,2]",-0.282054504,0.364460962818728,-0.81306485,-0.73321725,0,0,0,1.00244834188321,820
"loglik[26,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[27,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[28,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[29,2]",-0.304312054666667,0.36877427718261,-0.817912675,-0.7392075,0,0,0,1.00223552985036,900
"loglik[30,2]",-0.289884597333333,0.365656398396514,-0.810549875,-0.73158,0,0,0,1.00022849475977,1500
"loglik[31,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[32,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[33,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[34,2]",-0.264503895333333,0.358812945780954,-0.80892105,-0.7263375,0,0,0,1.00330028666386,610
"loglik[35,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[36,2]",-0.284831298,0.363396853794619,-0.809015025,-0.7292425,0,0,0,1.00197288644259,1000
"loglik[37,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[38,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[39,2]",-0.287180172666667,0.365300382111726,-0.812359175,-0.733865,0,0,0,1.00631323741173,320
"loglik[40,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[41,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[42,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[43,2]",-0.292378824,0.366295873934575,-0.815491075,-0.73219675,0,0,0,1.00423672119545,470
"loglik[44,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[45,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[46,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[47,2]",-0.266908564,0.359563337901843,-0.8127755,-0.7239395,0,0,0,1.00037523044889,1500
"loglik[48,2]",-0.293301480666667,0.365939593049791,-0.814144275,-0.73222125,0,0,0,1.00198961413427,1000
"loglik[49,2]",-0.286366074666667,0.363829372315373,-0.810934175,-0.73015,0,0,0,1.0013697925662,1500
"loglik[50,2]",-0.279419064,0.363599679046437,-0.813068175,-0.73017925,0,0,0,1.0004093509319,1500
"loglik[51,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[52,2]",-0.306177692,0.36943247185118,-0.815679675,-0.73822225,0,0,0,1.00191614982124,1000
"loglik[53,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[54,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[55,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[56,2]",-0.286816828666667,0.364880482818195,-0.8139902,-0.73208475,0,0,0,1.00131734254564,1500
"loglik[57,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[58,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[59,2]",-0.640459272,0.0397530924165631,-0.7224835,-0.66593925,-0.638793,-0.61345275,-0.567441575,1.02258220285089,110
"loglik[60,2]",-0.269110830666667,0.360830426247491,-0.8087234,-0.7289995,0,0,0,1.00131901406622,1500
"loglik[61,2]",-0.304258120666667,0.368168682443978,-0.81183325,-0.73409225,0,0,0,1.00938985869264,210
"loglik[62,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[63,2]",-0.299586835333333,0.368602418371705,-0.82138475,-0.73622025,0,0,0,1.00380270406103,530
"loglik[64,2]",-0.750611866,0.0440108017768753,-0.83695755,-0.779747,-0.7506265,-0.721116,-0.664647025,1.01946973880474,120
"loglik[65,2]",-0.277141342,0.361699786274159,-0.8122086,-0.72633725,0,0,0,1.00277235229579,720
"loglik[66,2]",-0.27024286,0.360857126779744,-0.8109286,-0.72682625,0,0,0,1.00196135226474,1000
