"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"xi",0.5315295,0.0184887884464291,0.49540133219175,0.519412249453991,0.531481999623694,0.543950497434931,0.566930159320844,1.00710056258344,310
"mu.pi",0.895260820666667,0.0231657827207835,0.852425282285897,0.880185749999894,0.89401249999986,0.909702748730303,0.943887846867101,1.01212441020449,170
"sigma.pi",0.66267158094,0.357813860358435,0.0565949513632382,0.433642499853851,0.630216999377992,0.854248701188114,1.49318447190875,1.11400776556142,130
"p[1,1]",0.962238654666667,0.0169308644336034,0.924485323979155,0.95203624981792,0.962803999948068,0.974076249805107,0.992479349633655,1.00847551222848,270
"p[2,1]",0.937855456,0.0236542855718509,0.878386906828423,0.924890999993513,0.940874499941411,0.955445499980768,0.974480722870729,1.00217425171979,920
"p[3,1]",0.919912068666667,0.0367096559024862,0.832049411012323,0.900091999958337,0.927249999002966,0.947961249956387,0.968380321985869,1.00599387969391,400
"p[1,2]",0.924844354666667,0.0252592595672848,0.870200898988978,0.908350499999587,0.927144999997843,0.940683499996412,0.972119374278516,1.00200460018762,1500
"p[2,2]",0.926942792,0.0254770340069495,0.871138419101733,0.912199247269246,0.929534499886906,0.94486199999365,0.969797299981486,1.00381231654833,530
"p[3,2]",0.912179439333333,0.0379187842092314,0.823109886791976,0.890219248301356,0.91989949974875,0.9381704999996,0.972772387549934,1.0058496468237,720
"p[1,3]",0.956631634666667,0.0151919858372647,0.923734561435953,0.946686999993662,0.957968498668928,0.968256749995256,0.979441399600772,1.00958686244675,300
"p[2,3]",0.981228040666667,0.00748167583909205,0.965967471654125,0.97648,0.981047499963177,0.98663199999848,0.994706824978816,1.00229399764156,870
"p[3,3]",0.9764547,0.0106930684696925,0.950657517508117,0.970944749837688,0.977428999999488,0.983935249992282,0.994054172289498,1.02123592499386,130
"p[1,4]",0.964177998666667,0.0188536612561904,0.924567459764362,0.950517499791295,0.965622999958058,0.978732499861685,0.995746567605817,1.00585835048348,410
"p[2,4]",0.954835684666667,0.0191707888630851,0.911096557558282,0.943355499885116,0.955370999966505,0.968172249972016,0.987970674721211,1.00962993590446,440
"p[3,4]",0.950659672666667,0.0230970532575256,0.899783078269531,0.938045249977513,0.952551999790038,0.966319249299068,0.98837271717824,1.01017212041389,210
"p[1,5]",0.958372344666667,0.0199520380288048,0.91686202366713,0.944925999998413,0.958351999699484,0.973421749965232,0.992855401016854,1.00982076214175,210
"p[2,5]",0.964525261333333,0.0185020922343863,0.928265788858823,0.950631497897737,0.965954999925462,0.979006249992243,0.995043974954764,1.00915526480904,220
"p[3,5]",0.948017504666667,0.026361509500863,0.888630168740778,0.934722746857593,0.949797999924194,0.966129249231396,0.990004399967758,1.01476000550579,320
"p[1,6]",0.962130773333333,0.0194051984448088,0.918428239421283,0.951085249977821,0.963505999966788,0.976713749907759,0.992453749886928,1.00256827189579,1500
"p[2,6]",0.960257079333333,0.0199969199385403,0.917219599965199,0.949153249927994,0.961988499970764,0.974930999778449,0.993524073668563,1.00799837537679,250
"p[3,6]",0.961327688666667,0.021029984447537,0.913617474104579,0.949410749834006,0.963352999434787,0.976529999115264,0.994001824978801,1.00800850806514,330
"phi[1,1]",1,0,1,1,1,1,1,1,1
"phi[2,1]",1,0,1,1,1,1,1,1,1
"phi[3,1]",1,0,1,1,1,1,1,1,1
"phi[1,2]",0.900790764,0.0430343468558295,0.80685179331422,0.874284498795109,0.901578999625102,0.930724498597523,0.979577697211892,1.00847568304929,270
"phi[2,2]",0.840403896,0.0567902816341662,0.701576359474028,0.807820249958105,0.846550999630855,0.882869499877248,0.931780434712095,1.00217426406859,920
"phi[3,2]",0.798957528,0.0838814734641221,0.60497943662987,0.749982499735488,0.813462993479113,0.864094249695243,0.915923353759525,1.00599391714926,400
"phi[1,3]",0.778941740666667,0.0533201174752,0.674427037529031,0.744257749862823,0.78103749996399,0.811235749481246,0.882414942121069,1.007730162746,270
"phi[2,3]",0.729547986666667,0.0576678137910289,0.600094935869742,0.695695249983694,0.734892491842174,0.768997249484936,0.830481376849717,1.00101607719282,1500
"phi[3,3]",0.673249016666667,0.0823264487435207,0.495723819173284,0.620192745047278,0.681910993928093,0.736781248899525,0.802076689672171,1.00871768080015,650
"phi[1,4]",0.616652128666667,0.0570284548386824,0.502048081678687,0.579360701212999,0.618075499965821,0.657567748243483,0.718570074908207,1.00157926284092,1400
"phi[2,4]",0.659866538,0.0539066335511172,0.541352799985259,0.628686748478742,0.662256987043549,0.694692247891504,0.754321973379913,1.00060533648796,1500
"phi[3,4]",0.593737798,0.0768882719336169,0.425427846405257,0.542286249998444,0.599887494048676,0.650077748698536,0.718640647894535,1.00569929014521,410
"phi[1,5]",0.567996943333333,0.0508175957174198,0.46626698142059,0.533506249302523,0.569213999100514,0.605538749887137,0.655122196881661,1.0040043149844,550
"phi[2,5]",0.595212490666667,0.0525748882078059,0.484249267646022,0.562696747396551,0.597701999390164,0.629909998390335,0.69323837969393,1.0028697951581,700
"phi[3,5]",0.530286496666667,0.0712381095426233,0.381178577489316,0.482000249761729,0.536252988718012,0.582995999873929,0.652506941505986,1.00228109623832,1500
"phi[1,6]",0.518948157333333,0.0510812921027634,0.410602184088178,0.484567498822856,0.521107499970975,0.551403499966676,0.614606378839146,1.00766306698044,270
"phi[2,6]",0.55126451,0.0534792855701466,0.446125349811065,0.517032996445747,0.548779997536353,0.58585624999984,0.661574913842226,1.00732139603342,280
