"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"xi",0.551642901333333,0.0179527871038862,0.517367649297236,0.539638999955525,0.552018995304509,0.563513999989353,0.588147524999788,1.00639817399577,310
"p[1,1]",0.925930894666667,0.044962078189414,0.826692374996229,0.897874245351052,0.932440498889876,0.960672999873528,0.993667634658119,1.00061575174171,1500
"p[2,1]",0.897334240666667,0.0478239227735909,0.793254287721407,0.868298745637577,0.901044499743492,0.930851746773223,0.977024793981666,1.00145315804344,1400
"p[3,1]",0.941179263333333,0.0434127444712995,0.834964034517149,0.915663248242891,0.950824999947414,0.975047749568396,0.99730934963543,1.00039755896044,1500
"p[4,1]",0.966979326666667,0.0282465989359118,0.897297571574822,0.952932499571445,0.973577999974835,0.988695999945383,0.998836149995506,1.00034983872295,1500
"p[5,1]",0.936282634,0.0478523134456156,0.822728272478008,0.911653999677503,0.945224999910603,0.973082999653171,0.996945348894882,1.00058601589351,1500
"p[6,1]",0.735126730666667,0.12697294100274,0.459374132413945,0.654172412327049,0.745406485994051,0.827824248844797,0.948586760083253,1.00255507452979,870
"p[7,1]",0.929693795333333,0.0579067566475946,0.777973483159176,0.901517493499941,0.944703995617146,0.972762749336092,0.997208798431536,1.00330959306378,610
"p[8,1]",0.876468454,0.0625220039987835,0.732930417595953,0.839491998697371,0.882243999795408,0.92082074959592,0.977644044795873,1.0000250117114,1500
"p[9,1]",0.810677598,0.0915447002084076,0.611382497634409,0.750329217366789,0.817642498996964,0.877644947672132,0.964991250997275,1.00163541009302,1500
"p[1,2]",0.854661728666667,0.0639046919787975,0.72502809581482,0.812532749902964,0.855915999508713,0.900204249749957,0.970455706341732,1.0015187686417,1300
"p[2,2]",0.963319512,0.030154885644718,0.887679292698152,0.948395499825624,0.970581999472481,0.986726749978623,0.99878209975831,1.00412077355069,1500
"p[3,2]",0.954844606,0.0376630624284646,0.860799135830564,0.933885744549636,0.965136499942884,0.984030249839851,0.998603649915593,1.00164145218023,1200
"p[4,2]",0.937116555333333,0.0410651739245788,0.8438612897028,0.911205999835381,0.943615998338307,0.96897274483763,0.996067099757652,1.00906258053208,310
