"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"xi",0.526763052,0.0197602252101589,0.4903089,0.5270165,0.566464525,1,1005
"mu.p[1]",0.962685544666667,0.016246896869739,0.9288163,0.963048,0.991459825,1,944
"mu.p[2]",0.964427004666667,0.0141311743895685,0.93178225,0.9656345,0.9883093,1,1193
"mu.p[3]",0.955177434,0.0199333333892498,0.90912305,0.956937,0.987174925,1,1350
"sigma.p",0.798317570342667,0.428304122925028,0.129277,0.7479895,1.843252,1,636
"p[1,1]",0.965964666666667,0.0188304157917667,0.925518175,0.9666385,0.996769675,1.01,1205
"p[2,1]",0.945983152,0.0240438364426066,0.88769425,0.9493815,0.98420515,1,1500
"p[3,1]",0.897544178,0.0433646636577573,0.8017033,0.9033515,0.9622406,1,983
"p[1,2]",0.941465635333333,0.0288903292965933,0.875697675,0.944871,0.990640025,1,1500
"p[2,2]",0.945806162666667,0.026899778033887,0.883483575,0.949601,0.989423675,1,1352
"p[3,2]",0.937203201333333,0.0350558208965447,0.8510278,0.9431255,0.989929025,1.01,1270
"p[1,3]",0.934993335333333,0.0164054912945014,0.8996748,0.936685,0.963330825,1,804
"p[2,3]",0.966140648,0.0110609205267628,0.942629825,0.966575,0.98676185,1,1004
"p[3,3]",0.965643588,0.0150671911700697,0.933004925,0.96711,0.992170675,1,1021
"p[1,4]",0.969669226666667,0.0188716625293331,0.928899125,0.9717735,0.9974474,1,922
"p[2,4]",0.961336624666667,0.0204869650972935,0.9115705,0.9639325,0.99285135,1,1024
"p[3,4]",0.961225396,0.022760464491198,0.90829115,0.964175,0.99453135,1,1417
"p[1,5]",0.963171288,0.0218871417081619,0.912523025,0.965468,0.9964103,1,1043
"p[2,5]",0.97389135,0.0155385688223486,0.9378523,0.9756175,0.997209475,1,1101
"p[3,5]",0.958892597333333,0.0255169437184723,0.89809195,0.96226,0.996355,1,1122
"p[1,6]",0.969633110666667,0.0197690250724704,0.92553875,0.971971,0.9979986,1.01,1108
"p[2,6]",0.967936266,0.0202983345936909,0.918842275,0.970434,0.996947975,1,1500
"p[3,6]",0.964561179333333,0.0227128506641806,0.911456425,0.9685255,0.996830775,1.01,1334
"pi[1,1]",0.910507598666667,0.048066879662618,0.8093161,0.911427,0.99119545,1.01,1196
"pi[2,1]",0.860481130666667,0.0586143049012978,0.7220827,0.867637,0.95741635,1,1500
"pi[3,1]",0.748273808666667,0.0958775682835495,0.546559725,0.7574285,0.900137625,1,982
"pi[1,2]",0.894195386,0.0507844754809012,0.7805386,0.8995565,0.982599475,1,1500
"pi[2,2]",0.901809530666667,0.0474001779129275,0.793543625,0.9079815,0.98034835,1,1360
"pi[3,2]",0.886982050666667,0.0607945918860043,0.7399943,0.896458,0.9812831,1.01,1272
"pi[1,3]",0.702740677333333,0.0644536493367063,0.57102405,0.707044,0.820371025,1,807
"pi[2,3]",0.834373985333333,0.0504770033767297,0.73115205,0.835119,0.931805825,1,1000
"pi[3,3]",0.833152032666667,0.0679988099952647,0.692444525,0.837571,0.959197525,1,1019
"pi[1,4]",0.934011366,0.0402470636003383,0.84813115,0.938056,0.994308575,1,915
"pi[2,4]",0.916275691333333,0.0430118034875338,0.8132023,0.921236,0.984104275,1,1023
"pi[3,4]",0.916172968666667,0.0477928333297452,0.806683025,0.9217535,0.987828,1,1414
"pi[1,5]",0.923644419333333,0.0443158039488463,0.822597125,0.9277715,0.99235765,1,1038
"pi[2,5]",0.945415148,0.0319628900837795,0.872074425,0.948702,0.994056575,1,1098
"pi[3,5]",0.915124499333333,0.0511391836672634,0.795092425,0.921207,0.992241125,1,1113
"pi[1,6]",0.927449416,0.0459809152886514,0.82624105,0.932276,0.9950699,1.01,1098
"pi[2,6]",0.923490264,0.0468217134795572,0.81157315,0.928645,0.992488725,1,1500
"pi[3,6]",0.915757131333333,0.0522729502683423,0.795576275,0.9241455,0.992200175,1.01,1322
"phi[1,1]",1,0,1,1,1,NA,0
"phi[2,1]",1,0,1,1,1,NA,0
"phi[3,1]",1,0,1,1,1,NA,0
"phi[1,2]",0.910507598666667,0.048066879662618,0.8093161,0.911427,0.99119545,1.01,1196
"phi[2,2]",0.860481130666667,0.0586143049012978,0.7220827,0.867637,0.95741635,1,1500
"phi[3,2]",0.748273808666667,0.0958775682835495,0.546559725,0.7574285,0.900137625,1,982
"phi[1,3]",0.813933161333333,0.0605131516364056,0.69728545,0.8125575,0.936618975,1.01,1183
"phi[2,3]",0.775610746666667,0.0624402447707607,0.6426904,0.7800605,0.880140075,1,1385
"phi[3,3]",0.663302188,0.0941701500414004,0.471244525,0.664864,0.82421805,1,1171
"phi[1,4]",0.5707176,0.055834610093312,0.461423375,0.5702965,0.682465975,1,1212
"phi[2,4]",0.64649664,0.0582642411067792,0.5207054,0.6485425,0.754369225,1,1390
"phi[3,4]",0.550975392,0.0800400942318875,0.39082475,0.5521065,0.701294425,1,1437
"phi[1,5]",0.532717356,0.0537900442214805,0.4269827,0.532098,0.639289975,1,1103
"phi[2,5]",0.592153521333333,0.0580903490737537,0.46802935,0.59304,0.6988148,1,1241
"phi[3,5]",0.504659467333333,0.0774297050522252,0.3546612,0.502484,0.6641729,1,1432
"phi[1,6]",0.492269257333333,0.0569790601190807,0.38214105,0.4926035,0.6044328,1,1001
"phi[2,6]",0.559857602,0.0585475072165198,0.441744425,0.559652,0.668799075,1,1213
"phi[3,6]",0.462121395333333,0.0775853615648197,0.313912625,0.457968,0.62531115,1,1347
"phi[1,7]",0.45709706,0.0615871299258381,0.3367215,0.455699,0.579886925,1,955
"phi[2,7]",0.517281828666667,0.0622320194624672,0.39301035,0.5172255,0.63598855,1,1303
"phi[3,7]",0.423765105333333,0.0783546030901771,0.2780904,0.4180725,0.589103775,1,1455
"alpha",-2.19347840666667,0.0423733428000198,-2.2757065,-2.193275,-2.11211275,1,767
"loglik[12,2]",-0.198762436666667,0.330986739300587,-0.80290175,0,0,1,1500
"loglik[13,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[14,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[15,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[16,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[17,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[18,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[19,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[20,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[21,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[22,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[23,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[24,2]",-0.281908659333333,0.362612375398983,-0.810947575,0,0,1,1571
"loglik[25,2]",-0.200404256666667,0.332061098157081,-0.8077141,0,0,1,1407
"loglik[26,2]",-0.288173636666667,0.36448010674996,-0.81013485,0,0,1,1364
"loglik[27,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[28,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[29,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[30,2]",-0.189386643333333,0.326504306667902,-0.801615125,0,0,1,1500
"loglik[31,2]",-0.207355454,0.334913822966129,-0.800783425,0,0,1,1423
"loglik[32,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[33,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[34,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[35,2]",-0.183486990666667,0.322593988583212,-0.803046575,0,0,1,1758
"loglik[36,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[37,2]",-0.296273521333333,0.367012874254868,-0.81346805,0,0,1,1490
"loglik[38,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[39,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[40,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[41,2]",-0.30937372,0.368700786757246,-0.8115932,0,0,1,1500
"loglik[42,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[43,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[44,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[45,2]",-0.44740644,0.367335730858597,-0.8219231,-0.7036525,0,1,1417
"loglik[46,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[47,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[48,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[49,2]",-0.307323343333333,0.368297892794692,-0.8150341,0,0,1,1406
"loglik[50,2]",-0.204944885333333,0.335536819174908,-0.809428125,0,0,1,1376
"loglik[51,2]",-0.306732496666667,0.368048280019224,-0.81088545,0,0,1,1428
"loglik[52,2]",-0.308302038,0.368874398114711,-0.808813425,0,0,1,1373
"loglik[53,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[54,2]",-0.202854244666667,0.333267605831752,-0.806824925,0,0,1,1372
"loglik[55,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[56,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[57,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[58,2]",-0.300270546666667,0.366836365705815,-0.8115932,0,0,1,1500
"loglik[59,2]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[60,2]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
