"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"p0",0.731177574666667,0.0182487082627401,0.694097236904427,0.718515249970642,0.732243499835949,0.743610749993822,0.765113499413321,1.00022365840929,1500
"pi0",0.92740171,0.00987100362453604,0.906423371254955,0.920766749991753,0.928306499961085,0.934264749999097,0.944828699896537,1.00026304000553,1500
"logit.pi0",2.55658804666667,0.146448975527109,2.27072604120747,2.4528099994496,2.56096499694939,2.65412249991169,2.84055348719999,1.00020752366771,1500
"sigma.eps[1]",0.404100344,0.043608655902547,0.32689196451703,0.373594499974906,0.401068498246871,0.431718249560275,0.494434050284311,1.00144557705742,1400
"sigma.eps[2]",0.5127981134,0.115322829944619,0.297603881836793,0.43952599368897,0.510757999999021,0.587138206671073,0.748018820011087,1.00368482668886,1500
"log.mu",3.73969118,0.0541542964207041,3.63209499862683,3.70403,3.73855999987963,3.77634499919566,3.84456643086679,1.00127064628698,1500
"lambda[1]",72.2537620666667,8.68187492842817,55.6817502213213,66.2363741503102,72.0589499616807,77.8864996100395,89.4095534625946,1.00032926891657,1500
"lambda[2]",34.6865282,5.77491467752323,25.0085059380345,30.5341499232375,34.2824499261649,38.1900490762574,47.7725526072019,1.00121368961228,1500
"lambda[3]",31.2516531333333,5.27244903616743,21.8422560929345,27.4260499396984,31.0294484994497,34.6828997297198,42.0883915718606,1.00209492449372,960
"lambda[4]",61.8379412666667,8.83371002287728,46.4020418571232,55.5930999611451,61.2751499382907,67.1066492865331,81.0526423120836,1.0032587616192,620
"lambda[5]",46.3353121333333,6.88387508536726,34.1254024868098,41.72137492699,45.7964998662562,50.4415749821394,61.7176936726241,1.0008423317242,1500
"lambda[6]",64.6573862666667,8.12005580023093,49.9976962904584,58.9767747970099,64.0840493032393,69.8319459399769,81.1198917761995,1.00004373604765,1500
"lambda[7]",51.7733452,7.22899233504438,38.6265797500238,46.7917999971149,51.4014999996109,56.4342499648495,66.8071609469513,1.00175526001908,1100
"lambda[8]",45.0116012,6.64019381493431,33.4025597788024,40.4605959112753,44.4529998109239,49.2849249094403,59.0983605380084,1.00325806069718,730
"lambda[9]",32.3891883333333,6.04096226884092,21.7955754565425,28.148849887954,32.0478999648963,36.065972421493,45.2909557093806,1.00029875324093,1500
"lambda[10]",28.4017952666667,4.96962322494266,19.7492486529559,25.0229999514423,28.0914991525906,31.3907999827979,39.1102059145564,1.00341288725812,650
"lambda[11]",63.1828268666667,8.42326708405539,48.3559946355374,57.2038249842501,62.9515982366612,68.5188681632364,81.341435482812,1.00008743504238,1500
"lambda[12]",25.7304926666667,5.78742061468092,16.8215304328311,21.5322499984326,25.2194992862666,28.9451742219975,37.9751126033227,1.00129253849499,1500
"lambda[13]",40.1125974,6.08949183008722,28.829829506805,35.7888497878002,39.6889498903662,44.2823737909116,52.7616434239457,1.00339536652795,590
"lambda[14]",52.3455546666667,7.66058142205151,38.4641125663507,47.1297249210455,51.6740495326232,57.2365746650858,68.9755730056015,1.00138314868963,1400
"lambda[15]",56.6877006,8.41745523130915,42.3037078231486,50.7643494148015,56.0578466603918,61.902324950796,74.0404764390228,1.00230032888,870
"lambda[16]",61.585578,8.33118445571693,46.8679835933281,55.9122649764089,61.0374998190456,66.9413999997759,79.6309472034088,1.00022431630884,1500
"lambda[17]",67.8420922,9.97064192450033,50.621397868438,60.8352737126985,66.6963431400853,73.8864990335702,89.382062409728,1.00085747841696,1500
"lambda[18]",52.1163774666667,7.30482001224258,39.6832987557328,46.7443234385172,51.574899999903,56.5383249995854,68.2795646107389,1.0020821347068,960
"lambda[19]",44.2069048,6.96189341439424,31.777107130812,39.3874494057275,43.8023914925886,48.5747499437228,59.3943412912498,1.00194991096769,1000
"lambda[20]",36.1718314,5.86513683664776,26.0240283066231,31.8113749976129,35.9860999687379,39.9086719055349,48.5131736222441,1.00040099774192,1500
"lambda[21]",70.6341579333333,10.5722742180932,52.7036799984859,63.4006999713719,69.7182499869295,76.3720248202848,94.7932288784574,1.00110095635325,1500
"lambda[22]",30.4601696666667,5.64082521474729,20.9410987277192,26.5693999858857,29.8230498993648,33.7823499750247,43.6259995911721,1.00273901686773,730
"lambda[23]",51.7156685333333,6.92211173438367,38.687702184124,47.0230249396881,51.6339999128481,56.3653248303413,65.8118559208946,1.00149395246957,1500
"lambda[24]",56.3751765333333,7.96688709958963,41.9201041220851,50.7619749995383,56.1770494232297,61.1625745725563,73.1697882983449,1.00139394011397,1400
